#node1	node2	combined_score
3-oxo-5-alpha-steroid 4-dehydrogenase 1	3-oxo-5-alpha-steroid 4-dehydrogenase 2	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 1	"Cytochrome P450 11B1, mitochondrial"	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 1	Aromatase	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 1	Aldo-keto reductase family 1 member C1	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 1	Aldo-keto reductase family 1 member C2	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 1	Aldo-keto reductase family 1 member C3	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 1	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 2	Aldo-keto reductase family 1 member D1	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 2	"Cytochrome P450 11B1, mitochondrial"	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 2	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 2	Aldo-keto reductase family 1 member C3	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 2	Aldo-keto reductase family 1 member C2	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 2	Aldo-keto reductase family 1 member C1	0.9
3-oxo-5-alpha-steroid 4-dehydrogenase 2	Aromatase	0.9
"4-aminobutyrate aminotransferase, mitochondrial"	"Aldehyde dehydrogenase, mitochondrial"	0.923
"4-aminobutyrate aminotransferase, mitochondrial"	"Succinate-semialdehyde dehydrogenase, mitochondrial"	0.951
"4-aminobutyrate aminotransferase, mitochondrial"	Aldehyde dehydrogenase family 3 member A2	0.923
"4-aminobutyrate aminotransferase, mitochondrial"	Aldehyde oxidase	0.9
4-hydroxyphenylpyruvate dioxygenase	"Aspartate aminotransferase, cytoplasmic"	0.942
5'-AMP-activated protein kinase	Serine/threonine-protein kinase mTOR	0.9
5'-AMP-activated protein kinase	Acetyl-CoA carboxylase 2	0.902
5'-AMP-activated protein kinase	5'-AMP-activated protein kinase subunit gamma-1	0.96
5'-AMP-activated protein kinase	5'-AMP-activated protein kinase subunit beta-1	0.994
5'-AMP-activated protein kinase	5'-AMP-activated protein kinase catalytic subunit alpha-1	0.99
5'-AMP-activated protein kinase catalytic subunit alpha-1	5'-AMP-activated protein kinase subunit gamma-1	0.994
5'-AMP-activated protein kinase catalytic subunit alpha-1	Serine/threonine-protein kinase ULK1	0.845
5'-AMP-activated protein kinase catalytic subunit alpha-1	Acetyl-CoA carboxylase 2	0.92
5'-AMP-activated protein kinase catalytic subunit alpha-1	Induced myeloid leukemia cell differentiation protein Mcl-1	0.72
5'-AMP-activated protein kinase catalytic subunit alpha-1	Beclin-1	0.744
5'-AMP-activated protein kinase catalytic subunit alpha-1	cAMP-dependent protein kinase catalytic subunit beta	0.905
5'-AMP-activated protein kinase catalytic subunit alpha-1	Serine/threonine-protein kinase mTOR	0.907
5'-AMP-activated protein kinase catalytic subunit alpha-1	5'-AMP-activated protein kinase subunit beta-1	0.998
5'-AMP-activated protein kinase subunit beta-1	5'-AMP-activated protein kinase subunit gamma-1	0.999
5'-AMP-activated protein kinase subunit beta-1	Serine/threonine-protein kinase ULK1	0.748
5'-AMP-activated protein kinase subunit beta-1	Acetyl-CoA carboxylase 2	0.9
5'-AMP-activated protein kinase subunit beta-1	Serine/threonine-protein kinase mTOR	0.905
5'-AMP-activated protein kinase subunit beta-1	Induced myeloid leukemia cell differentiation protein Mcl-1	0.713
5'-AMP-activated protein kinase subunit gamma-1	Serine/threonine-protein kinase ULK1	0.798
5'-AMP-activated protein kinase subunit gamma-1	Acetyl-CoA carboxylase 2	0.902
5'-AMP-activated protein kinase subunit gamma-1	Serine/threonine-protein kinase mTOR	0.9
5'-nucleotidase	Thymidine kinase	0.9
5'-nucleotidase	Adenosine deaminase	0.9
5'-nucleotidase	Thymidylate synthase	0.918
5'-nucleotidase	Inosine-5'-monophosphate dehydrogenase 1	0.91
5'-nucleotidase	Inosine-5'-monophosphate dehydrogenase 2	0.91
5'-nucleotidase	Purine nucleoside phosphorylase	0.911
5'-nucleotidase	Deoxycytidine kinase	0.9
5-hydroxytryptamine receptor 2A	Serotonin Receptors	0.929
5-hydroxytryptamine receptor 2A	Voltage-dependent L-type calcium channel subunit alpha-1C	0.9
5-hydroxytryptamine receptor 2A	5-hydroxytryptamine receptor 2C	0.955
5-hydroxytryptamine receptor 2A	Voltage-dependent L-type calcium channel subunit alpha-1D	0.9
5-hydroxytryptamine receptor 2A	Voltage-dependent L-type calcium channel subunit alpha-1S	0.9
5-hydroxytryptamine receptor 2A	Voltage-dependent L-type calcium channel subunit alpha-1F	0.9
5-hydroxytryptamine receptor 2C	Serotonin Receptors	0.929
5-hydroxytryptamine receptor 2C	Voltage-dependent L-type calcium channel subunit alpha-1C	0.9
5-hydroxytryptamine receptor 2C	Voltage-dependent L-type calcium channel subunit alpha-1F	0.9
5-hydroxytryptamine receptor 2C	Voltage-dependent L-type calcium channel subunit alpha-1S	0.9
5-hydroxytryptamine receptor 2C	Voltage-dependent L-type calcium channel subunit alpha-1D	0.9
5-hydroxytryptamine receptor 3A	"Glutamate receptor ionotropic, NMDA 3B"	0.72
5-hydroxytryptamine receptor 3A	5-hydroxytryptamine receptor 3B	0.958
5-hydroxytryptamine receptor 3A	"Glutamate receptor ionotropic, NMDA 2D"	0.72
5-hydroxytryptamine receptor 3A	Glutamate receptor 2	0.72
5-hydroxytryptamine receptor 3A	"Glutamate receptor ionotropic, NMDA 2A"	0.72
5-hydroxytryptamine receptor 3A	"Glutamate receptor ionotropic, NMDA 3A"	0.72
5-hydroxytryptamine receptor 3A	"Glutamate receptor ionotropic, NMDA 1"	0.72
5-hydroxytryptamine receptor 3A	Glutamate receptor 1	0.72
5-hydroxytryptamine receptor 3A	"Glutamate receptor ionotropic, NMDA 2B"	0.72
5-hydroxytryptamine receptor 6	Pro-opiomelanocortin	0.905
5-hydroxytryptamine receptor 6	5-hydroxytryptamine receptor 7	0.9
6-pyruvoyl tetrahydrobiopterin synthase	cGMP-dependent protein kinase 2	0.75
6-pyruvoyl tetrahydrobiopterin synthase	Aldo-keto reductase family 1 member B10	0.9
6-pyruvoyl tetrahydrobiopterin synthase	Aldo-keto reductase family 1 member C3	0.9
6-pyruvoyl tetrahydrobiopterin synthase	Aldo-keto reductase family 1 member B1	0.9
72 kDa type IV collagenase	Matrix metalloproteinase-9	0.9
72 kDa type IV collagenase	Interstitial collagenase	0.9
72 kDa type IV collagenase	Matrilysin	0.8
72 kDa type IV collagenase	Transforming growth factor beta-1 proprotein	0.749
72 kDa type IV collagenase	Proto-oncogene tyrosine-protein kinase Src	0.9
72 kDa type IV collagenase	Matrix metalloproteinase-14	0.9
ALK tyrosine kinase receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"	0.902
ALK tyrosine kinase receptor	GTPase NRas	0.907
ALK tyrosine kinase receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	0.902
ALK tyrosine kinase receptor	Tyrosine-protein kinase JAK2	0.912
ALK tyrosine kinase receptor	Myc proto-oncogene protein	0.751
ALK tyrosine kinase receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	0.915
ALK tyrosine kinase receptor	Tyrosine-protein kinase JAK1	0.9
ALK tyrosine kinase receptor	Tyrosine-protein kinase JAK3	0.934
ALK tyrosine kinase receptor	Phosphatidylinositol 3-kinase regulatory subunit alpha	0.935
ATP-binding cassette sub-family C member 8	ATP-binding cassette sub-family C member 9	0.818
ATP-binding cassette sub-family C member 8	ATP-sensitive inward rectifier potassium channel 11	0.997
ATP-binding cassette sub-family C member 8	cAMP-dependent protein kinase catalytic subunit beta	0.9
ATP-binding cassette sub-family C member 8	ATP-sensitive inward rectifier potassium channel 8	0.875
ATP-binding cassette sub-family C member 9	ATP-sensitive inward rectifier potassium channel 8	0.936
ATP-binding cassette sub-family C member 9	ATP-sensitive inward rectifier potassium channel 11	0.986
ATP-sensitive inward rectifier potassium channel 11	GABA(A) Receptor	0.9
ATP-sensitive inward rectifier potassium channel 11	Gamma-aminobutyric acid type B receptor subunit 1	0.9
ATP-sensitive inward rectifier potassium channel 12	Potassium voltage-gated channel subfamily KQT member 1	0.9
ATP-sensitive inward rectifier potassium channel 12	Inward rectifier potassium channel 2	0.9
ATP-sensitive inward rectifier potassium channel 12	Potassium voltage-gated channel subfamily KQT member 4	0.9
ATP-sensitive inward rectifier potassium channel 12	Inward rectifier potassium channel 4	0.9
ATP-sensitive inward rectifier potassium channel 12	Potassium voltage-gated channel subfamily KQT member 5	0.9
ATP-sensitive inward rectifier potassium channel 12	Potassium voltage-gated channel subfamily KQT member 2	0.9
ATP-sensitive inward rectifier potassium channel 12	Potassium voltage-gated channel subfamily KQT member 3	0.9
ATP-sensitive inward rectifier potassium channel 8	Protein kinase C epsilon type	0.9
"Acetyl-CoA acetyltransferase, mitochondrial"	Acetyl-CoA carboxylase 2	0.927
"Acetyl-CoA acetyltransferase, mitochondrial"	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"	0.919
Acetyl-CoA carboxylase 2	Amidophosphoribosyltransferase	0.792
Acetyl-CoA carboxylase 2	Fatty acid synthase	0.9
Acetyl-CoA carboxylase 2	Transcription factor Sp1	0.75
Acetyl-CoA carboxylase 2	Trifunctional purine biosynthetic protein adenosine-3	0.846
Acetylcholine receptor subunit alpha	Neuronal acetylcholine receptor subunit alpha-6	0.712
Acetylcholine receptor subunit alpha	Neuronal acetylcholine receptor subunit beta-2	0.712
Acetylcholine receptor subunit alpha	Neuronal acetylcholine receptor subunit beta-4	0.712
Acetylcholine receptor subunit alpha	Neuronal acetylcholine receptor subunit alpha-3	0.712
Acetylcholinesterase	Amyloid-beta precursor protein	0.735
Acetylserotonin O-methyltransferase	Serotonin N-acetyltransferase	0.9
Acetylserotonin O-methyltransferase	"Aldehyde dehydrogenase, mitochondrial"	0.9
Acetylserotonin O-methyltransferase	Cytochrome P450 1A2	0.9
Acetylserotonin O-methyltransferase	Aldehyde dehydrogenase family 3 member A2	0.9
Acetylserotonin O-methyltransferase	Aldehyde oxidase	0.9
Acetylserotonin O-methyltransferase	"Indoleamine 2,3-dioxygenase 1"	0.9
Activated CDC42 kinase 1	Epidermal growth factor receptor	0.838
Activated CDC42 kinase 1	Heat shock protein HSP 90-alpha	0.706
Activated CDC42 kinase 1	Proto-oncogene tyrosine-protein kinase Src	0.738
Activin receptor type-1	Bone morphogenetic protein receptor type-2	0.974
Activin receptor type-1	Peptidyl-prolyl cis-trans isomerase FKBP1A	0.926
Activin receptor type-1	Bone morphogenetic protein receptor type-1B	0.9
Activin receptor type-1	Activin receptor type-1B	0.889
Adenosine deaminase	Deoxycytidine kinase	0.9
Adenosine deaminase	Dipeptidyl peptidase 4	0.972
Adenosine deaminase	Purine nucleoside phosphorylase	0.932
Adenosine receptor A1	Adenosine receptor A3	0.9
Adenosine receptor A2a	BDNF/NT-3 growth factors receptor	0.7
Adenosine receptor A2a	Adenosine receptor A2b	0.929
Adenosine receptor A2a	D(2) dopamine receptor	0.806
Adenosine receptor A2a	Pro-opiomelanocortin	0.905
Adenosine receptor A2a	High affinity nerve growth factor receptor	0.7
"Adrenodoxin, mitochondrial"	"Cholesterol side-chain cleavage enzyme, mitochondrial"	0.969
Alcohol dehydrogenase 1A	Retinal dehydrogenase 2	0.706
Alcohol dehydrogenase 1A	Aldehyde dehydrogenase family 3 member A2	0.706
Alcohol dehydrogenase 1A	Catechol O-methyltransferase	0.9
Alcohol dehydrogenase 1A	Diacylglycerol O-acyltransferase 1	0.9
Alcohol dehydrogenase 1A	Amine oxidase [flavin-containing] B	0.908
Alcohol dehydrogenase 1A	Monoamine oxidase	0.908
Alcohol dehydrogenase 1A	Aldehyde oxidase	0.9
Alcohol dehydrogenase 1A	"Aldehyde dehydrogenase, mitochondrial"	0.706
Alcohol dehydrogenase 1A	Alcohol dehydrogenase 1C	0.9
Alcohol dehydrogenase 1A	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	0.927
Alcohol dehydrogenase 1C	Retinal dehydrogenase 2	0.706
Alcohol dehydrogenase 1C	"Aldehyde dehydrogenase, mitochondrial"	0.706
Alcohol dehydrogenase 1C	Catechol O-methyltransferase	0.9
Alcohol dehydrogenase 1C	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	0.96
Alcohol dehydrogenase 1C	Monoamine oxidase	0.908
Alcohol dehydrogenase 1C	Aldehyde dehydrogenase family 3 member A2	0.706
Alcohol dehydrogenase 1C	Aldehyde oxidase	0.9
Alcohol dehydrogenase 1C	Amine oxidase [flavin-containing] B	0.908
Alcohol dehydrogenase 1C	Diacylglycerol O-acyltransferase 1	0.9
Aldehyde dehydrogenase family 3 member A2	"Aldehyde dehydrogenase, mitochondrial"	0.9
Aldehyde dehydrogenase family 3 member A2	Aldo-keto reductase family 1 member B1	0.91
Aldehyde dehydrogenase family 3 member A2	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	0.706
Aldehyde dehydrogenase family 3 member A2	Monoamine oxidase	0.918
Aldehyde dehydrogenase family 3 member A2	Aldo-keto reductase family 1 member B10	0.91
Aldehyde dehydrogenase family 3 member A2	Aldo-keto reductase family 1 member A1	0.91
Aldehyde dehydrogenase family 3 member A2	Amine oxidase [flavin-containing] B	0.918
"Aldehyde dehydrogenase, mitochondrial"	Aldo-keto reductase family 1 member B10	0.91
"Aldehyde dehydrogenase, mitochondrial"	Aldo-keto reductase family 1 member A1	0.91
"Aldehyde dehydrogenase, mitochondrial"	Aldo-keto reductase family 1 member B1	0.91
"Aldehyde dehydrogenase, mitochondrial"	Amine oxidase [flavin-containing] B	0.918
"Aldehyde dehydrogenase, mitochondrial"	Monoamine oxidase	0.918
"Aldehyde dehydrogenase, mitochondrial"	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	0.706
Aldehyde oxidase	Retinal dehydrogenase 2	0.9
Aldehyde oxidase	Cytochrome P450 2C9	0.908
Aldehyde oxidase	Cytochrome P450 2A6	0.911
Aldehyde oxidase	UDP-glucuronosyltransferase 1A1	0.909
Aldehyde oxidase	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	0.9
Aldehyde oxidase	Monoamine oxidase	0.9
Aldehyde oxidase	Cytochrome P450 1A2	0.913
Aldehyde oxidase	Cytochrome P450 2C8	0.908
Aldehyde oxidase	Cytochrome P450 26C1	0.905
Aldehyde oxidase	Cytochrome P450 3A4	0.909
Aldehyde oxidase	Amine oxidase [flavin-containing] B	0.9
Aldo-keto reductase family 1 member B1	Hexokinase-4	0.8
Aldo-keto reductase family 1 member B1	Aldo-keto reductase family 1 member B10	0.9
Aldo-keto reductase family 1 member B1	Aldo-keto reductase family 1 member C3	0.9
Aldo-keto reductase family 1 member B1	Tyrosine 3-monooxygenase	0.9
Aldo-keto reductase family 1 member B1	Dihydrofolate reductase	0.9
Aldo-keto reductase family 1 member B10	Hexokinase-4	0.8
Aldo-keto reductase family 1 member B10	Dihydrofolate reductase	0.9
Aldo-keto reductase family 1 member B10	Tyrosine 3-monooxygenase	0.9
Aldo-keto reductase family 1 member B10	Aldo-keto reductase family 1 member C3	0.9
Aldo-keto reductase family 1 member C1	Aldo-keto reductase family 1 member D1	0.982
Aldo-keto reductase family 1 member C1	"Cytochrome P450 11B1, mitochondrial"	0.9
Aldo-keto reductase family 1 member C1	Cytochrome P450 2A6	0.9
Aldo-keto reductase family 1 member C1	UDP-glucuronosyltransferase 1A1	0.9
Aldo-keto reductase family 1 member C1	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.9
Aldo-keto reductase family 1 member C1	Aldo-keto reductase family 1 member C3	0.984
Aldo-keto reductase family 1 member C1	Aldo-keto reductase family 1 member C2	0.982
Aldo-keto reductase family 1 member C1	Cytochrome P450 3A4	0.9
Aldo-keto reductase family 1 member C2	Cytochrome P450 2A6	0.9
Aldo-keto reductase family 1 member C2	UDP-glucuronosyltransferase 1A1	0.9
Aldo-keto reductase family 1 member C2	Aldo-keto reductase family 1 member C3	0.983
Aldo-keto reductase family 1 member C3	Steryl-sulfatase	0.9
Aldo-keto reductase family 1 member C3	Aldo-keto reductase family 1 member D1	0.982
Aldo-keto reductase family 1 member C3	"Cytochrome P450 11B1, mitochondrial"	0.9
Aldo-keto reductase family 1 member C3	Hematopoietic prostaglandin D synthase	0.903
Aldo-keto reductase family 1 member C3	UDP-glucuronosyltransferase 1A1	0.9
Aldo-keto reductase family 1 member C3	Cytochrome P450 1A2	0.9
Aldo-keto reductase family 1 member C3	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.9
Aldo-keto reductase family 1 member C3	Cytochrome P450 3A4	0.9
Aldo-keto reductase family 1 member C3	Aromatase	0.9
Aldo-keto reductase family 1 member D1	UDP-glucuronosyltransferase 1A1	0.9
Aldo-keto reductase family 1 member D1	Aromatase	0.9
Aldo-keto reductase family 1 member D1	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.9
Aldo-keto reductase family 1 member D1	"Cytochrome P450 11B1, mitochondrial"	0.9
All-trans-retinol dehydrogenase [NAD(+)] ADH1B	Retinal dehydrogenase 2	0.706
All-trans-retinol dehydrogenase [NAD(+)] ADH1B	Catechol O-methyltransferase	0.9
All-trans-retinol dehydrogenase [NAD(+)] ADH1B	Diacylglycerol O-acyltransferase 1	0.9
All-trans-retinol dehydrogenase [NAD(+)] ADH1B	Amine oxidase [flavin-containing] B	0.908
All-trans-retinol dehydrogenase [NAD(+)] ADH1B	Monoamine oxidase	0.908
Alpha-1B adrenergic receptor	Alpha-1D adrenergic receptor	0.926
Alpha-1D adrenergic receptor	Utrophin	0.735
Amidophosphoribosyltransferase	Trifunctional purine biosynthetic protein adenosine-3	0.988
Amiloride-sensitive sodium channel subunit alpha	Amiloride-sensitive sodium channel subunit gamma	0.997
Amiloride-sensitive sodium channel subunit alpha	Sodium channel protein type 5 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit alpha	Amiloride-sensitive sodium channel subunit beta	0.997
Amiloride-sensitive sodium channel subunit alpha	Sodium channel protein type 2 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit alpha	Sodium channel protein type 10 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit alpha	Amiloride-sensitive sodium channel subunit delta	0.793
Amiloride-sensitive sodium channel subunit alpha	Sodium channel protein type 4 subunit alpha	0.9
Amiloride-sensitive sodium channel subunit alpha	Sodium channel regulatory subunit beta-1	0.9
Amiloride-sensitive sodium channel subunit beta	Amiloride-sensitive sodium channel subunit gamma	0.992
Amiloride-sensitive sodium channel subunit beta	Sodium channel protein type 5 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit beta	Sodium channel protein type 2 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit beta	Sodium channel protein type 10 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit beta	Sodium channel regulatory subunit beta-1	0.9
Amiloride-sensitive sodium channel subunit beta	Sodium channel protein type 4 subunit alpha	0.9
Amiloride-sensitive sodium channel subunit beta	Amiloride-sensitive sodium channel subunit delta	0.728
Amiloride-sensitive sodium channel subunit delta	Amiloride-sensitive sodium channel subunit gamma	0.803
Amiloride-sensitive sodium channel subunit delta	Sodium channel protein type 5 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit delta	Sodium channel protein type 2 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit delta	Sodium channel protein type 10 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit delta	Sodium channel regulatory subunit beta-1	0.72
Amiloride-sensitive sodium channel subunit delta	Sodium channel protein type 4 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit gamma	Sodium channel protein type 2 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit gamma	Sodium channel protein type 10 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit gamma	Sodium channel protein type 5 subunit alpha	0.72
Amiloride-sensitive sodium channel subunit gamma	Sodium channel regulatory subunit beta-1	0.9
Amiloride-sensitive sodium channel subunit gamma	Sodium channel protein type 4 subunit alpha	0.9
Amine oxidase [flavin-containing] B	Serotonin N-acetyltransferase	0.9
Amine oxidase [flavin-containing] B	Histamine N-methyltransferase	0.9
Amine oxidase [flavin-containing] B	Catechol O-methyltransferase	0.908
Amine oxidase [flavin-containing] B	Monoamine oxidase	0.959
Amine oxidase [flavin-containing] B	Cytochrome P450 2C19	0.9
Amine oxidase [flavin-containing] B	Lactoylglutathione lyase	0.8
Amine oxidase [flavin-containing] B	"Indoleamine 2,3-dioxygenase 1"	0.9
Amine oxidase [flavin-containing] B	Cytochrome P450 3A4	0.9
Amine oxidase [flavin-containing] B	Dopamine beta-hydroxylase	0.9
Amine oxidase [flavin-containing] B	Aromatic-L-amino-acid decarboxylase	0.902
Aminopeptidase N	"Aspartate aminotransferase, cytoplasmic"	0.811
Amyloid-beta precursor protein	Cholesteryl ester transfer protein	0.72
Amyloid-beta precursor protein	Serum paraoxonase/arylesterase 1	0.72
Amyloid-beta precursor protein	GABA(A) Receptor Benzodiazepine Binding Site	0.72
Amyloid-beta precursor protein	Apolipoprotein(a)	0.761
Amyloid-beta precursor protein	Serine protease 1	0.778
Amyloid-beta precursor protein	Calreticulin	0.745
Amyloid-beta precursor protein	Gamma-secretase subunit PEN-2	0.878
Amyloid-beta precursor protein	Gamma-secretase subunit APH-1A	0.879
Amyloid-beta precursor protein	Major prion protein	0.89
Amyloid-beta precursor protein	Nicastrin	0.968
Amyloid-beta precursor protein	Presenilin-1	0.981
Androgen receptor	G1/S-specific cyclin-D1	0.738
Androgen receptor	E3 ubiquitin-protein ligase Mdm2	0.92
Androgen receptor	Prostate-specific antigen	0.933
Androgen receptor	Heat shock protein HSP 90-alpha	0.989
Androgen receptor	Serine/threonine-protein kinase N1	0.7
Androgen receptor	cAMP-dependent protein kinase catalytic subunit beta	0.9
Androgen receptor	Histone deacetylase 1	0.789
Androgen receptor	Proto-oncogene tyrosine-protein kinase Src	0.748
Androgen receptor	Prostaglandin E synthase 3	0.897
Androgen receptor	Nuclear receptor coactivator 1	0.863
Androgen receptor	Nuclear receptor coactivator 2	0.994
Angiopoietin-1 receptor	Vascular endothelial growth factor B	0.7
Angiotensin-converting enzyme 2	Dipeptidyl peptidase 4	0.9
Annexin A1	Annexin A2	0.811
Annexin A2	Cellular tumor antigen p53	0.937
Annexin A2	Ribosomal protein S6 kinase alpha-1	0.9
Apolipoprotein(a)	Cholesteryl ester transfer protein	0.72
Apolipoprotein(a)	Serum paraoxonase/arylesterase 1	0.72
Apolipoprotein(a)	GABA(A) Receptor Benzodiazepine Binding Site	0.72
Apoptosis regulator BAX	NAD-dependent protein deacetylase sirtuin-1	0.9
Apoptosis regulator BAX	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"	0.721
Apoptosis regulator BAX	Bcl-2-like protein 2	0.916
Apoptosis regulator BAX	Cellular tumor antigen p53	0.977
Apoptosis regulator BAX	NT-3 growth factor receptor	0.75
Apoptosis regulator BAX	cAMP-dependent protein kinase catalytic subunit beta	0.9
Apoptosis regulator BAX	Apoptosis regulator Bcl-2	0.999
Apoptosis regulator BAX	Bcl-2-like protein 1	0.999
Apoptosis regulator BAX	Induced myeloid leukemia cell differentiation protein Mcl-1	0.998
Apoptosis regulator Bcl-2	Mitogen-activated protein kinase 1	0.926
Apoptosis regulator Bcl-2	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"	0.782
Apoptosis regulator Bcl-2	Neuraminidase	0.9
Apoptosis regulator Bcl-2	Mitogen-activated protein kinase 3	0.9
Apoptosis regulator Bcl-2	Signal transducer and activator of transcription 3	0.753
Apoptosis regulator Bcl-2	Cellular tumor antigen p53	0.986
Apoptosis regulator Bcl-2	Superoxide dismutase [Cu-Zn]	0.93
Apoptosis regulator Bcl-2	Cathepsin K	0.9
Apoptosis regulator Bcl-2	Beclin-1	0.999
Apoptosis regulator Bcl-2	Cathepsin S	0.9
Apoptosis regulator Bcl-2	Bcl-2-like protein 1	0.985
Apoptosis regulator Bcl-2	Bcl2-associated agonist of cell death	0.99
Apoptosis regulator Bcl-2	Mitogen-activated protein kinase 8	0.925
Apoptosis regulator Bcl-2	RAC-gamma serine/threonine-protein kinase	0.9
Apoptosis regulator Bcl-2	Mitogen-activated protein kinase 9	0.9
Apoptosis regulator Bcl-2	RAC-alpha serine/threonine-protein kinase	0.9
Aromatase	"Cytochrome P450 11B1, mitochondrial"	0.902
Aromatase	UDP-glucuronosyltransferase 1A1	0.909
Aromatase	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.907
Aromatase	Cytochrome P450 3A4	0.911
Aromatic-L-amino-acid decarboxylase	Serotonin N-acetyltransferase	0.914
Aromatic-L-amino-acid decarboxylase	Tyrosinase	0.901
Aromatic-L-amino-acid decarboxylase	"Aspartate aminotransferase, cytoplasmic"	0.9
Aromatic-L-amino-acid decarboxylase	Catechol O-methyltransferase	0.9
Aromatic-L-amino-acid decarboxylase	Thyroid peroxidase	0.9
Aromatic-L-amino-acid decarboxylase	Monoamine oxidase	0.902
Aromatic-L-amino-acid decarboxylase	Tyrosine 3-monooxygenase	0.916
Aromatic-L-amino-acid decarboxylase	Dopamine beta-hydroxylase	0.914
Aromatic-L-amino-acid decarboxylase	"Indoleamine 2,3-dioxygenase 1"	0.9
