Drug1,Drug2,Cell_line,classification
Dexrazoxane,Fulvestrant,MDAMB468_BREAST,antagonism
Abiraterone,Hydroxyurea,LOXIMVI_SKIN,antagonism
Crizotinib,Dexrazoxane,DU145_PROSTATE,antagonism
Etoposide,Letrozole,UO31_KIDNEY,antagonism
Dexrazoxane,Everolimus,MDAMB468_BREAST,antagonism
Gemcitabine,Sorafenib,HCT116_LARGE_INTESTINE,antagonism
MK-1775,PD-0325901,ZR751_BREAST,antagonism
ThioTEPA,Fulvestrant,HCT116_LARGE_INTESTINE,antagonism
Cabazitaxel,Dexrazoxane,SW620_LARGE_INTESTINE,antagonism
Letrozole,5-Azacitidine,HCT15_LARGE_INTESTINE,antagonism
Chlorambucil,Anastrozole,UO31_KIDNEY,antagonism
Dexrazoxane,Fluorouracil,HCT15_LARGE_INTESTINE,antagonism
Dexrazoxane,Tioguanine,MALME3M_SKIN,antagonism
Etoposide,Tretinoin,NCIH522_LUNG,antagonism
Fulvestrant,5-Azacitidine,NCIH522_LUNG,antagonism
Pipobroman,Methoxsalen,HOP62_LUNG,antagonism
Lenalidomide,Crizotinib,HCT116_LARGE_INTESTINE,antagonism
Dexamethasone,Niraparib,NCIH23_LUNG,antagonism
Chlorambucil,Thalidomide,NCIH2122_LUNG,antagonism
Vismodegib,Sorafenib,SKOV3_OVARY,antagonism
Gefitinib,Fluorouracil,SKMEL5_SKIN,antagonism
Abiraterone,Methotrexate,UACC62_SKIN,antagonism
Lenalidomide,Decitabine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pemetrexed,Pipobroman,KM12_LARGE_INTESTINE,antagonism
Vandetanib,Paclitaxel,MALME3M_SKIN,antagonism
Paclitaxel,Allopurinol,OVCAR8_OVARY,antagonism
Vandetanib,ThioTEPA,UO31_KIDNEY,antagonism
Vismodegib,Pipobroman,NCIH2122_LUNG,antagonism
Cabazitaxel,Everolimus,UO31_KIDNEY,antagonism
Methotrexate,Bortezomib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Teniposide,ThioTEPA,MDAMB231_BREAST,antagonism
Crizotinib,Sorafenib,PC3_PROSTATE,antagonism
Fluorouracil,Hydroxyurea,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Dasatinib,Fulvestrant,PC3_PROSTATE,antagonism
5-Azacitidine,Busulfan,BT549_BREAST,antagonism
Tioguanine,Ixabepilone,NCIH226_LUNG,antagonism
Crizotinib,Dexrazoxane,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Allopurinol,DU145_PROSTATE,antagonism
Chlorambucil,Ifosfamide,UACC62_SKIN,antagonism
Dexrazoxane,Valrubicin,SW620_LARGE_INTESTINE,antagonism
Cabazitaxel,Pipobroman,SW620_LARGE_INTESTINE,antagonism
Etoposide,Fulvestrant,MCF7_BREAST,antagonism
Pemetrexed,Chlorambucil,PC3_PROSTATE,antagonism
Pemetrexed,Decitabine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lenalidomide,Pipobroman,HCT15_LARGE_INTESTINE,antagonism
Cabazitaxel,Dexrazoxane,CAKI1_KIDNEY,antagonism
Everolimus,Pipobroman,LOXIMVI_SKIN,antagonism
Abiraterone,Chlorambucil,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Chlorambucil,Imatinib,UACC62_SKIN,antagonism
5-Azacitidine,Decitabine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Fluorouracil,Valrubicin,KM12_LARGE_INTESTINE,antagonism
Lenalidomide,Pipobroman,DU145_PROSTATE,antagonism
Pemetrexed,Carmustine,UO31_KIDNEY,antagonism
Tioguanine,5-Azacitidine,PC3_PROSTATE,antagonism
Pemetrexed,Chlorambucil,HS578T_BREAST,antagonism
Fluorouracil,Methotrexate,SW620_LARGE_INTESTINE,antagonism
Methotrexate,Erlotinib,ZR751_BREAST,antagonism
Anastrozole,Decitabine,NCIH522_LUNG,antagonism
Gefitinib,Methoxsalen,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Paclitaxel,5-Azacitidine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Allopurinol,Ixabepilone,EKVX_LUNG,antagonism
Chlorambucil,Paclitaxel,BT549_BREAST,antagonism
MK-2206,Sorafenib,RPMI7951_SKIN,antagonism
Dexrazoxane,Dacarbazine,HCT15_LARGE_INTESTINE,antagonism
Pipobroman,Allopurinol,MDAMB468_BREAST,antagonism
Fluorouracil,Busulfan,KM12_LARGE_INTESTINE,antagonism
Chlorambucil,Pipobroman,PC3_PROSTATE,antagonism
Dexrazoxane,Ifosfamide,HCT15_LARGE_INTESTINE,antagonism
Axitinib,Pentostatin,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Imatinib,HS578T_BREAST,antagonism
Dexrazoxane,Everolimus,EKVX_LUNG,antagonism
Cabazitaxel,Dexrazoxane,NCIH226_LUNG,antagonism
Chlorambucil,Mitotane,HOP92_LUNG,antagonism
Methotrexate,Ifosfamide,DU145_PROSTATE,antagonism
Gefitinib,Methoxsalen,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Everolimus,BT549_BREAST,antagonism
Chlorambucil,ThioTEPA,NCIH23_LUNG,antagonism
Pipobroman,Busulfan,CAKI1_KIDNEY,antagonism
Teniposide,Letrozole,NCIH522_LUNG,antagonism
Gefitinib,Methoxsalen,T47D_BREAST,antagonism
Dexamethasone,PD-0325901,RKO_LARGE_INTESTINE,antagonism
Methotrexate,Decitabine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
ThioTEPA,Sorafenib,A549_LUNG,antagonism
Teniposide,Tioguanine,UACC257_SKIN,antagonism
Dacarbazine,Paclitaxel,T47D_BREAST,antagonism
Teniposide,Allopurinol,HOP92_LUNG,antagonism
Etoposide,Chlorambucil,NCIH522_LUNG,antagonism
Vandetanib,Gefitinib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Methotrexate,PD-0325901,SW620_LARGE_INTESTINE,antagonism
Methotrexate,Pipobroman,SKMEL5_SKIN,antagonism
Gefitinib,Bortezomib,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Ridaforolimus,OV90_OVARY,antagonism
Etoposide,Everolimus,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Fulvestrant,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Lomustine,Ixabepilone,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Dasatinib,Allopurinol,CAKI1_KIDNEY,antagonism
Lenalidomide,Gefitinib,DU145_PROSTATE,antagonism
Pemetrexed,Lomustine,UO31_KIDNEY,antagonism
Temozolomide,Decitabine,SW620_LARGE_INTESTINE,antagonism
Dexrazoxane,Dasatinib,A498_KIDNEY,antagonism
Chlorambucil,Busulfan,NCIH522_LUNG,antagonism
Paclitaxel,Valrubicin,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Tioguanine,Pipobroman,HT29_LARGE_INTESTINE,antagonism
Gefitinib,Methotrexate,NCIH23_LUNG,antagonism
Lomustine,Decitabine,UACC62_SKIN,antagonism
Lenalidomide,Tioguanine,BT549_BREAST,antagonism
Paclitaxel,BEZ-235,CAOV3_OVARY,antagonism
Abiraterone,Pemetrexed,OVCAR4_OVARY,antagonism
Chlorambucil,Anastrozole,UACC62_SKIN,antagonism
Etoposide,Tioguanine,CAKI1_KIDNEY,antagonism
Etoposide,Tioguanine,EKVX_LUNG,antagonism
Cabazitaxel,Methotrexate,LOXIMVI_SKIN,antagonism
Everolimus,Pipobroman,UO31_KIDNEY,antagonism
Valrubicin,Pentostatin,IGROV1_OVARY,antagonism
Lenalidomide,Dexrazoxane,HT29_LARGE_INTESTINE,antagonism
Etoposide,Busulfan,UACC62_SKIN,antagonism
Chlorambucil,Methotrexate,NCIH23_LUNG,antagonism
Etoposide,Pipobroman,HT29_LARGE_INTESTINE,antagonism
MK-1775,Erlotinib,NCIH460_LUNG,antagonism
Etoposide,ThioTEPA,OVCAR8_OVARY,antagonism
Altretamine,ThioTEPA,NCIH460_LUNG,antagonism
5-Azacitidine,Thalidomide,IGROV1_OVARY,antagonism
Lomustine,ThioTEPA,HS578T_BREAST,antagonism
Fulvestrant,Ixabepilone,UO31_KIDNEY,antagonism
Methoxsalen,Pentostatin,EKVX_LUNG,antagonism
Axitinib,Pipobroman,IGROV1_OVARY,antagonism
Dacarbazine,5-Azacitidine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Altretamine,Allopurinol,CAKI1_KIDNEY,antagonism
Dexrazoxane,Sorafenib,HCT116_LARGE_INTESTINE,antagonism
5-Azacitidine,Everolimus,MALME3M_SKIN,antagonism
Vismodegib,Sorafenib,NCIH23_LUNG,antagonism
Tioguanine,Paclitaxel,SKOV3_OVARY,antagonism
Crizotinib,Pipobroman,OVCAR8_OVARY,antagonism
Gefitinib,Imatinib,EKVX_LUNG,antagonism
Lomustine,Hydroxyurea,UACC62_SKIN,antagonism
Everolimus,Methoxsalen,OVCAR8_OVARY,antagonism
Pipobroman,Allopurinol,UACC62_SKIN,antagonism
Dacarbazine,Ixabepilone,UO31_KIDNEY,antagonism
Paclitaxel,5-Azacitidine,BT549_BREAST,antagonism
Teniposide,Everolimus,UO31_KIDNEY,antagonism
Dexrazoxane,Decitabine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Paclitaxel,UACC257_SKIN,antagonism
Everolimus,Allopurinol,T47D_BREAST,antagonism
Dexamethasone,PD-0325901,OV90_OVARY,antagonism
Axitinib,Crizotinib,HCT116_LARGE_INTESTINE,antagonism
Methotrexate,Dasatinib,EFM192A_BREAST,antagonism
Hydroxyurea,Decitabine,DU145_PROSTATE,antagonism
Fluorouracil,Vemurafenib,T47D_BREAST,antagonism
Fluorouracil,ThioTEPA,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Tioguanine,Decitabine,MALME3M_SKIN,antagonism
Tioguanine,Anastrozole,NCIH226_LUNG,antagonism
Etoposide,Tretinoin,KM12_LARGE_INTESTINE,antagonism
Vismodegib,Fluorouracil,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Allopurinol,SKMEL5_SKIN,antagonism
Imatinib,Pipobroman,KM12_LARGE_INTESTINE,antagonism
Etoposide,ThioTEPA,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Dasatinib,Allopurinol,OVCAR8_OVARY,antagonism
Lomustine,Allopurinol,EKVX_LUNG,antagonism
Cabazitaxel,Sorafenib,HOP92_LUNG,antagonism
Pipobroman,Thalidomide,NCIH2122_LUNG,antagonism
Chlorambucil,Busulfan,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vismodegib,Sorafenib,NCIH226_LUNG,antagonism
Pemetrexed,Tioguanine,MDAMB468_BREAST,antagonism
Gefitinib,Dacarbazine,SKOV3_OVARY,antagonism
Chlorambucil,Bortezomib,PC3_PROSTATE,antagonism
Etoposide,Anastrozole,UO31_KIDNEY,antagonism
Lomustine,Temozolomide,SW620_LARGE_INTESTINE,antagonism
Lenalidomide,Methotrexate,SKMEL5_SKIN,antagonism
Paclitaxel,Pipobroman,BT549_BREAST,antagonism
Teniposide,Crizotinib,MDAMB435S_SKIN,antagonism
Altretamine,Paclitaxel,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Sorafenib,NCIH226_LUNG,antagonism
Cabazitaxel,Dexrazoxane,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Imiquimod,SW620_LARGE_INTESTINE,antagonism
Tioguanine,Busulfan,UACC62_SKIN,antagonism
Pemetrexed,Sorafenib,SKOV3_OVARY,antagonism
Pemetrexed,ThioTEPA,OVCAR8_OVARY,antagonism
Lomustine,Chlorambucil,KM12_LARGE_INTESTINE,antagonism
Lomustine,ThioTEPA,T47D_BREAST,antagonism
Vemurafenib,Paclitaxel,ACHN_KIDNEY,antagonism
Dexrazoxane,Paclitaxel,SKOV3_OVARY,antagonism
Temozolomide,Sorafenib,RPMI7951_SKIN,antagonism
Lenalidomide,Everolimus,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Sorafenib,Bortezomib,OVCAR8_OVARY,antagonism
Teniposide,Letrozole,UO31_KIDNEY,antagonism
Vandetanib,Tretinoin,HOP92_LUNG,antagonism
Anastrozole,5-Azacitidine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vemurafenib,ThioTEPA,MDAMB468_BREAST,antagonism
5-Azacitidine,Pipobroman,MALME3M_SKIN,antagonism
Tioguanine,ThioTEPA,SKOV3_OVARY,antagonism
Paclitaxel,Erlotinib,ZR751_BREAST,antagonism
Fluorouracil,Allopurinol,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Vandetanib,Dexrazoxane,UACC62_SKIN,antagonism
Everolimus,Allopurinol,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Crizotinib,Tioguanine,NCIH226_LUNG,antagonism
Chlorambucil,Hydroxyurea,SKMEL5_SKIN,antagonism
Lomustine,Methotrexate,HOP62_LUNG,antagonism
Teniposide,Hydroxyurea,MALME3M_SKIN,antagonism
Vemurafenib,Altretamine,KM12_LARGE_INTESTINE,antagonism
Dasatinib,Busulfan,UO31_KIDNEY,antagonism
Etoposide,Crizotinib,PC3_PROSTATE,antagonism
Vandetanib,Mitotane,NCIH522_LUNG,antagonism
Dacarbazine,Tioguanine,OVCAR4_OVARY,antagonism
Gemcitabine,Bortezomib,KPL1_BREAST,antagonism
Pemetrexed,Bortezomib,A498_KIDNEY,antagonism
Lomustine,Paclitaxel,DU145_PROSTATE,antagonism
Paclitaxel,Methoxsalen,OVCAR4_OVARY,antagonism
Lomustine,Mitotane,PC3_PROSTATE,antagonism
Dexamethasone,Ridaforolimus,MDAMB436_BREAST,antagonism
Teniposide,Tioguanine,MCF7_BREAST,antagonism
Fluorouracil,Letrozole,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Anastrozole,Pipobroman,T47D_BREAST,antagonism
Etoposide,Methoxsalen,NCIH226_LUNG,antagonism
Dexrazoxane,Tioguanine,MCF7_BREAST,antagonism
Pipobroman,Carmustine,MDAMB231_BREAST,antagonism
Cabazitaxel,Pemetrexed,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Vismodegib,Sorafenib,LOXIMVI_SKIN,antagonism
Etoposide,Ixabepilone,BT549_BREAST,antagonism
Lenalidomide,Dasatinib,UO31_KIDNEY,antagonism
Chlorambucil,Crizotinib,BT549_BREAST,antagonism
Pipobroman,Thalidomide,SKMEL5_SKIN,antagonism
Dexrazoxane,Teniposide,HT29_LARGE_INTESTINE,antagonism
Etoposide,Crizotinib,UACC62_SKIN,antagonism
Chlorambucil,Pentostatin,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Tretinoin,Temozolomide,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Fluorouracil,Busulfan,PC3_PROSTATE,antagonism
Abiraterone,Methotrexate,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Dexrazoxane,MCF7_BREAST,antagonism
Tioguanine,Carmustine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vandetanib,Sorafenib,HCT15_LARGE_INTESTINE,antagonism
Pemetrexed,Dexrazoxane,DU145_PROSTATE,antagonism
Tioguanine,Tretinoin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Paclitaxel,5-Azacitidine,UO31_KIDNEY,antagonism
Chlorambucil,Pentostatin,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Dacarbazine,ThioTEPA,NCIH460_LUNG,antagonism
Dacarbazine,Methotrexate,IGROV1_OVARY,antagonism
Fluorouracil,Ixabepilone,BT549_BREAST,antagonism
Teniposide,Chlorambucil,A549_LUNG,antagonism
Cabazitaxel,Methotrexate,HCT15_LARGE_INTESTINE,antagonism
Dexrazoxane,Paclitaxel,UO31_KIDNEY,antagonism
Dexamethasone,Bortezomib,ZR751_BREAST,antagonism
Dexrazoxane,Lomustine,SKMEL28_SKIN,antagonism
Etoposide,Crizotinib,786O_KIDNEY,antagonism
Lenalidomide,Teniposide,SKOV3_OVARY,antagonism
ThioTEPA,5-Azacitidine,NCIH226_LUNG,antagonism
Letrozole,Pipobroman,NCIH522_LUNG,antagonism
Chlorambucil,Pipobroman,SKMEL5_SKIN,antagonism
Vemurafenib,Sorafenib,OVCAR8_OVARY,antagonism
Tioguanine,Letrozole,MALME3M_SKIN,antagonism
Fluorouracil,Mitotane,OVCAR8_OVARY,antagonism
Chlorambucil,Vemurafenib,OVCAR8_OVARY,antagonism
Fluorouracil,Vemurafenib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vandetanib,Lenalidomide,SKOV3_OVARY,antagonism
Etoposide,Chlorambucil,HOP92_LUNG,antagonism
Tretinoin,Pipobroman,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Methotrexate,Thalidomide,BT549_BREAST,antagonism
Pipobroman,Ifosfamide,HT29_LARGE_INTESTINE,antagonism
Paclitaxel,Pipobroman,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Crizotinib,Sorafenib,A498_KIDNEY,antagonism
Teniposide,Lomustine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Ixabepilone,A498_KIDNEY,antagonism
Dexrazoxane,Busulfan,LOXIMVI_SKIN,antagonism
Chlorambucil,ThioTEPA,DU145_PROSTATE,antagonism
5-Azacitidine,Methotrexate,A498_KIDNEY,antagonism
Topotecan,BEZ-235,ZR751_BREAST,antagonism
Cabazitaxel,Crizotinib,PC3_PROSTATE,antagonism
Gefitinib,Lomustine,DU145_PROSTATE,antagonism
Dexrazoxane,Valrubicin,HT29_LARGE_INTESTINE,antagonism
Chlorambucil,Crizotinib,MDAMB231_BREAST,antagonism
Axitinib,Bortezomib,KM12_LARGE_INTESTINE,antagonism
Fluorouracil,Valrubicin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Teniposide,Letrozole,IGROV1_OVARY,antagonism
Chlorambucil,Bortezomib,NCIH522_LUNG,antagonism
Pemetrexed,Dexrazoxane,HS578T_BREAST,antagonism
Pipobroman,Carmustine,MALME3M_SKIN,antagonism
Vismodegib,ThioTEPA,DU145_PROSTATE,antagonism
Dacarbazine,Tioguanine,ACHN_KIDNEY,antagonism
Fluorouracil,Pipobroman,UACC62_SKIN,antagonism
Imatinib,Mitotane,T47D_BREAST,antagonism
Lenalidomide,Chlorambucil,HCT15_LARGE_INTESTINE,antagonism
Fluorouracil,Tioguanine,MALME3M_SKIN,antagonism
Etoposide,Crizotinib,HCT116_LARGE_INTESTINE,antagonism
Lenalidomide,Allopurinol,NCIH23_LUNG,antagonism
Fluorouracil,Methotrexate,HOP92_LUNG,antagonism
Dexrazoxane,Decitabine,UACC62_SKIN,antagonism
Chlorambucil,ThioTEPA,NCIH522_LUNG,antagonism
Altretamine,Decitabine,CAKI1_KIDNEY,antagonism
ThioTEPA,Ixabepilone,NCIH226_LUNG,antagonism
