Drug1,Drug2,Cell_line,classification
5-Azacitidine,Methoxsalen,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Methoxsalen,IGROV1_OVARY,antagonism
5-Azacitidine,Methoxsalen,MDAMB231_BREAST,antagonism
5-Azacitidine,Methoxsalen,NCIH226_LUNG,antagonism
5-Azacitidine,Methoxsalen,NCIH522_LUNG,antagonism
5-Azacitidine,Methoxsalen,OVCAR4_OVARY,antagonism
5-Azacitidine,Methoxsalen,OVCAR8_OVARY,synergy
5-Azacitidine,Methoxsalen,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
5-Azacitidine,Methoxsalen,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Mitotane,HCT116_LARGE_INTESTINE,synergy
5-Azacitidine,Mitotane,LOXIMVI_SKIN,antagonism
5-Azacitidine,Mitotane,MDAMB231_BREAST,antagonism
5-Azacitidine,Mitotane,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
5-Azacitidine,Mitotane,SKMEL5_SKIN,antagonism
5-Azacitidine,Mitotane,T47D_BREAST,antagonism
5-Azacitidine,Pentostatin,786O_KIDNEY,antagonism
5-Azacitidine,Pentostatin,ACHN_KIDNEY,antagonism
5-Azacitidine,Pentostatin,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Pentostatin,HOP62_LUNG,antagonism
5-Azacitidine,Pentostatin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
5-Azacitidine,Pentostatin,MALME3M_SKIN,antagonism
5-Azacitidine,Pentostatin,MDAMB231_BREAST,antagonism
5-Azacitidine,Pentostatin,NCIH226_LUNG,antagonism
5-Azacitidine,Pentostatin,NCIH522_LUNG,antagonism
5-Azacitidine,Pentostatin,OVCAR4_OVARY,antagonism
5-Azacitidine,Pentostatin,OVCAR8_OVARY,antagonism
5-Azacitidine,Pentostatin,PC3_PROSTATE,antagonism
5-Azacitidine,Pentostatin,SKMEL5_SKIN,antagonism
5-Azacitidine,Pentostatin,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
5-Azacitidine,Pipobroman,786O_KIDNEY,antagonism
5-Azacitidine,Pipobroman,A498_KIDNEY,antagonism
5-Azacitidine,Pipobroman,A549_LUNG,antagonism
5-Azacitidine,Pipobroman,BT549_BREAST,antagonism
5-Azacitidine,Pipobroman,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Pipobroman,HOP62_LUNG,antagonism
5-Azacitidine,Pipobroman,HS578T_BREAST,antagonism
5-Azacitidine,Pipobroman,IGROV1_OVARY,antagonism
5-Azacitidine,Pipobroman,MALME3M_SKIN,antagonism
5-Azacitidine,Pipobroman,MCF7_BREAST,antagonism
5-Azacitidine,Pipobroman,MDAMB231_BREAST,antagonism
5-Azacitidine,Pipobroman,NCIH2122_LUNG,antagonism
5-Azacitidine,Pipobroman,NCIH226_LUNG,antagonism
5-Azacitidine,Pipobroman,NCIH23_LUNG,synergy
5-Azacitidine,Pipobroman,NCIH522_LUNG,antagonism
5-Azacitidine,Pipobroman,PC3_PROSTATE,antagonism
5-Azacitidine,Pipobroman,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Pipobroman,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Pipobroman,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Pipobroman,SKMEL5_SKIN,antagonism
5-Azacitidine,Pipobroman,SKOV3_OVARY,antagonism
5-Azacitidine,Pipobroman,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Pipobroman,UACC257_SKIN,antagonism
5-Azacitidine,Pipobroman,UO31_KIDNEY,antagonism
5-Azacitidine,Sorafenib,786O_KIDNEY,antagonism
5-Azacitidine,Sorafenib,BT549_BREAST,antagonism
5-Azacitidine,Sorafenib,CAKI1_KIDNEY,antagonism
5-Azacitidine,Sorafenib,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Sorafenib,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Sorafenib,KM12_LARGE_INTESTINE,antagonism
5-Azacitidine,Sorafenib,MDAMB435S_SKIN,antagonism
5-Azacitidine,Sorafenib,NCIH522_LUNG,antagonism
5-Azacitidine,Sorafenib,OVCAR4_OVARY,antagonism
5-Azacitidine,Sorafenib,PC3_PROSTATE,antagonism
5-Azacitidine,Sorafenib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Sorafenib,SKMEL28_SKIN,antagonism
5-Azacitidine,Sorafenib,SKOV3_OVARY,antagonism
5-Azacitidine,Sorafenib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Sorafenib,UO31_KIDNEY,antagonism
5-Azacitidine,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
5-Azacitidine,Thalidomide,A549_LUNG,antagonism
5-Azacitidine,Thalidomide,ACHN_KIDNEY,antagonism
5-Azacitidine,Thalidomide,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Thalidomide,HOP62_LUNG,antagonism
5-Azacitidine,Thalidomide,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Thalidomide,IGROV1_OVARY,antagonism
5-Azacitidine,Thalidomide,MDAMB231_BREAST,antagonism
5-Azacitidine,Thalidomide,NCIH522_LUNG,antagonism
5-Azacitidine,Thalidomide,OVCAR4_OVARY,antagonism
5-Azacitidine,Thalidomide,OVCAR8_OVARY,synergy
5-Azacitidine,Thalidomide,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Valrubicin,A498_KIDNEY,synergy
5-Azacitidine,Valrubicin,DU145_PROSTATE,antagonism
5-Azacitidine,Valrubicin,KM12_LARGE_INTESTINE,synergy
5-Azacitidine,Valrubicin,MDAMB468_BREAST,antagonism
5-Azacitidine,Valrubicin,OVCAR8_OVARY,synergy
5-Azacitidine,Valrubicin,SNB75_CENTRAL_NERVOUS_SYSTEM,synergy
5-Azacitidine,Valrubicin,UO31_KIDNEY,antagonism
842166X,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,antagonism
AC-480,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
ACY-1215,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
AEE-788,AT-7519,TC71_BONE,synergy
AEE-788,Carfilzomib,TC71_BONE,synergy
AEE-788,Cytarabine,TC71_BONE,synergy
AEE-788,Danusertib,TC71_BONE,antagonism
AEE-788,KX-01,TC71_BONE,synergy
AEE-788,Ombrabulin,TC71_BONE,synergy
AEE-788,Pralatrexate,TC71_BONE,synergy
AEE-788,Romidepsin,TC71_BONE,synergy
AEE-788,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
AEE-788,Tivantinib,TC71_BONE,synergy
AST-1306,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
AT-7519,AEE-788,TC71_BONE,synergy
AT-7519,AZD-8055,TC71_BONE,antagonism
AT-7519,Carfilzomib,TC71_BONE,synergy
AT-7519,Cytarabine,TC71_BONE,synergy
AT-7519,Etoposide,TC71_BONE,synergy
AT-7519,KX-01,TC71_BONE,synergy
AT-7519,Niraparib,EW8_BONE,synergy
AT-7519,Ombrabulin,TC71_BONE,synergy
AT-7519,PF-3758309,EW8_BONE,synergy
AT-7519,PF-3758309,TC71_BONE,synergy
AT-7519,Pralatrexate,TC71_BONE,synergy
AT-7519,Romidepsin,TC71_BONE,synergy
AVN944,AEE-788,TC71_BONE,synergy
AVN944,AT-7519,TC71_BONE,synergy
AVN944,Carfilzomib,TC71_BONE,synergy
AVN944,Cytarabine,TC71_BONE,synergy
AVN944,Danusertib,TC71_BONE,synergy
AVN944,Etoposide,TC71_BONE,synergy
AVN944,Pelitinib,TC71_BONE,synergy
AVN944,Romidepsin,TC71_BONE,synergy
AZD-3514,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
AZD-5363,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
AZD-5438,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,antagonism
AZD-6482,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
AZD-8055,AEE-788,TC71_BONE,synergy
AZD-8055,AT-7519,TC71_BONE,antagonism
AZD-8055,Carfilzomib,TC71_BONE,synergy
AZD-8055,Cobimetinib,RD_SOFT_TISSUE,synergy
AZD-8055,Cytarabine,TC71_BONE,synergy
AZD-8055,Etoposide,TC71_BONE,antagonism
AZD-8055,Everolimus,TC71_BONE,synergy
AZD-8055,Ombrabulin,TC71_BONE,synergy
AZD-8055,Romidepsin,TC71_BONE,synergy
AZD-8055,Tivantinib,TC71_BONE,synergy
AZD-8055,Trametinib,RD_SOFT_TISSUE,synergy
AZD-8330,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Abemaciclib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Abiraterone,5-Azacitidine,ACHN_KIDNEY,synergy
Abiraterone,5-Azacitidine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,5-Azacitidine,LOXIMVI_SKIN,synergy
Abiraterone,5-Azacitidine,NCIH460_LUNG,antagonism
Abiraterone,5-Azacitidine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,5-Azacitidine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Allopurinol,CAKI1_KIDNEY,antagonism
Abiraterone,Allopurinol,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Allopurinol,KM12_LARGE_INTESTINE,antagonism
Abiraterone,Allopurinol,OVCAR4_OVARY,antagonism
Abiraterone,Allopurinol,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Allopurinol,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Altretamine,HT29_LARGE_INTESTINE,synergy
Abiraterone,Altretamine,KM12_LARGE_INTESTINE,antagonism
Abiraterone,Altretamine,LOXIMVI_SKIN,antagonism
Abiraterone,Altretamine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Altretamine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Altretamine,UO31_KIDNEY,synergy
Abiraterone,Anastrozole,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Anastrozole,KM12_LARGE_INTESTINE,antagonism
Abiraterone,Anastrozole,LOXIMVI_SKIN,synergy
Abiraterone,Anastrozole,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Anastrozole,UO31_KIDNEY,antagonism
Abiraterone,Axitinib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Bortezomib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Bortezomib,KM12_LARGE_INTESTINE,antagonism
Abiraterone,Bortezomib,OVCAR8_OVARY,synergy
Abiraterone,Bortezomib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Bortezomib,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Abiraterone,Bortezomib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Abiraterone,Bortezomib,UO31_KIDNEY,antagonism
Abiraterone,Busulfan,A549_LUNG,antagonism
Abiraterone,Busulfan,ACHN_KIDNEY,antagonism
Abiraterone,Busulfan,CAKI1_KIDNEY,antagonism
Abiraterone,Busulfan,HCT116_LARGE_INTESTINE,antagonism
Abiraterone,Busulfan,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Busulfan,IGROV1_OVARY,antagonism
Abiraterone,Busulfan,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Busulfan,KM12_LARGE_INTESTINE,antagonism
Abiraterone,Busulfan,LOXIMVI_SKIN,antagonism
Abiraterone,Busulfan,NCIH460_LUNG,antagonism
Abiraterone,Busulfan,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Abiraterone,Busulfan,SW620_LARGE_INTESTINE,antagonism
Abiraterone,Busulfan,UO31_KIDNEY,synergy
Abiraterone,Cabazitaxel,786O_KIDNEY,synergy
Abiraterone,Cabazitaxel,A549_LUNG,synergy
Abiraterone,Cabazitaxel,ACHN_KIDNEY,synergy
Abiraterone,Cabazitaxel,BT549_BREAST,synergy
Abiraterone,Cabazitaxel,CAKI1_KIDNEY,synergy
Abiraterone,Cabazitaxel,DU145_PROSTATE,synergy
Abiraterone,Cabazitaxel,EKVX_LUNG,synergy
Abiraterone,Cabazitaxel,HCT116_LARGE_INTESTINE,synergy
Abiraterone,Cabazitaxel,HCT15_LARGE_INTESTINE,synergy
Abiraterone,Cabazitaxel,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Cabazitaxel,HOP62_LUNG,synergy
Abiraterone,Cabazitaxel,HS578T_BREAST,synergy
Abiraterone,Cabazitaxel,HT29_LARGE_INTESTINE,synergy
Abiraterone,Cabazitaxel,IGROV1_OVARY,synergy
Abiraterone,Cabazitaxel,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Abiraterone,Cabazitaxel,LOXIMVI_SKIN,synergy
Abiraterone,Cabazitaxel,MALME3M_SKIN,synergy
Abiraterone,Cabazitaxel,MCF7_BREAST,synergy
Abiraterone,Cabazitaxel,MDAMB231_BREAST,synergy
Abiraterone,Cabazitaxel,MDAMB435S_SKIN,synergy
Abiraterone,Cabazitaxel,NCIH2122_LUNG,synergy
Abiraterone,Cabazitaxel,NCIH226_LUNG,synergy
Abiraterone,Cabazitaxel,NCIH23_LUNG,synergy
Abiraterone,Cabazitaxel,OVCAR8_OVARY,synergy
