CID,IUPACName,MolecularFormula,MW,logP,TPSA,HBD,HBA,RotatableBonds,HeavyAtoms,CanonicalSMILES,InChIKey
10348973,"1-[4-[1-[(2,6-difluorophenyl)methyl]-5-[(dimethylamino)methyl]-3-(6-methoxypyridazin-3-yl)-2,4-dioxothieno[2,3-d]pyrimidin-6-yl]phenyl]-3-methoxyurea",C29H27F2N7O5S,623.6,3.2,157.0,2,11,9,44,,AOMXMOCNKJTRQP-UHFFFAOYSA-N
25181472,"N-[[3-fluoro-4-[2-[5-[(2-methoxyethylamino)methyl]-2-pyridinyl]thieno[3,2-b]pyridin-7-yl]oxyphenyl]carbamothioyl]-2-(4-fluorophenyl)acetamide",C31H27F2N5O3S2,619.7,5.1,158.0,3,10,11,43,,YRCHYHRCBXNYNU-UHFFFAOYSA-N
9810929,"(2S)-2-[[(2S)-2-(dimethylamino)-3-methylbutanoyl]amino]-N-[(3R,4S,5S)-3-methoxy-1-[(2S)-2-[(1R,2R)-1-methoxy-2-methyl-3-oxo-3-[[(1S)-2-phenyl-1-(1,3-thiazol-2-yl)ethyl]amino]propyl]pyrrolidin-1-yl]-5-methyl-1-oxoheptan-4-yl]-N,3-dimethylbutanamide",C42H68N6O6S,785.1,5.8,162.0,2,9,21,55,,OFDNQWIFNXBECV-VFSYNPLYSA-N
3117,"diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate",C10H20N2S4,296.5,3.9,121.0,0,4,7,16,,AUZONCFQVSMFAP-UHFFFAOYSA-N
46241268,"4-amino-2-butoxy-8-[[3-(pyrrolidin-1-ylmethyl)phenyl]methyl]-5,7-dihydropteridin-6-one",C22H30N6O2,410.5,2.7,96.6,2,7,8,30,,VFOKSTCIRGDTBR-UHFFFAOYSA-N
5282379,"(2Z,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",C20H28O2,300.4,6.3,37.3,1,2,5,22,,SHGAZHPCJJPHSC-XFYACQKRSA-N
444000,"disodium;[(8R,9S,13S,14S,17S)-3-[bis(2-chloroethyl)carbamoyloxy]-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl] phosphate",C23H30Cl2NNa2O6P,564.3,,102.0,0,6,7,35,,IIUMCNJTGSMNRO-VVSKJQCTSA-L
3334,methyl N-(6-phenylsulfanyl-1H-benzimidazol-2-yl)carbamate,C15H13N3O2S,299.3,3.6,92.3,2,4,4,21,,HDDSHPAODJUKPD-UHFFFAOYSA-N
15983966,5-[6-[(4-methylpiperazin-1-yl)methyl]benzimidazol-1-yl]-3-[(1R)-1-[2-(trifluoromethyl)phenyl]ethoxy]thiophene-2-carboxamide,C27H28F3N5O2S,543.6,4.7,105.0,1,9,7,38,,ZHJGWYRLJUCMRT-QGZVFWFLSA-N
4463,"2-cyclopropyl-7-methyl-2,4,9,15-tetrazatricyclo[9.4.0.03,8]pentadeca-1(11),3,5,7,12,14-hexaen-10-one",C15H14N4O,266.30,2.0,58.1,1,4,1,20,,NQDJXKOVJZTUJA-UHFFFAOYSA-N
71226662,"4-[8-amino-3-[(2S)-1-but-2-ynoylpyrrolidin-2-yl]imidazo[1,5-a]pyrazin-1-yl]-N-pyridin-2-ylbenzamide",C26H23N7O2,465.5,3.0,119.0,2,6,4,35,,WDENQIQQYWYTPO-IBGZPJMESA-N
5479,1-(2-ethylsulfonylethyl)-2-methyl-5-nitroimidazole,C8H13N3O4S,247.27,-0.4,106.0,0,5,4,16,,HJLSLZFTEKNLFI-UHFFFAOYSA-N
4170,"7-chloro-2-methyl-3-(2-methylphenyl)-4-oxo-1,2-dihydroquinazoline-6-sulfonamide",C16H16ClN3O3S,365.8,4.1,101.0,2,5,2,24,,AQCHWTWZEMGIFD-UHFFFAOYSA-N
49836058,"4-[[(5S)-5-[[3,5-bis(trifluoromethyl)phenyl]methyl-(2-methyltetrazol-5-yl)amino]-7,9-dimethyl-2,3,4,5-tetrahydro-1-benzazepin-1-yl]methyl]cyclohexane-1-carboxylic acid",C31H36F6N6O2,638.6,7.7,87.4,1,13,7,45,,IHIUGIVXARLYHP-UXNJHFGPSA-N
27350,"[(2S,3S,5S,8R,9S,10S,13S,14S,16S,17R)-17-acetyloxy-10,13-dimethyl-2,16-bis(1-methylpiperidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate dibromide",C35H60Br2N2O4,732.7,,52.6,0,6,6,43,,NPIJXCQZLFKBMV-YTGGZNJNSA-L
11626560,"3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-ylpyrazol-4-yl)pyridin-2-amine",C21H22Cl2FN5O,450.3,3.7,78.0,2,6,5,30,,KTEIFNKAUNYNJU-GFCCVEGCSA-N
9849735,"[(3aR,6E,9S,9aR,10R,11aS)-6-[[bis(prop-2-enyl)amino]methylidene]-5-hydroxy-9-(methoxymethyl)-9a,11a-dimethyl-1,4,7-trioxo-2,3,3a,9,10,11-hexahydroindeno[4,5-h]isochromen-10-yl] acetate",C29H35NO8,525.6,1.7,119.0,1,9,9,38,,QIUASFSNWYMDFS-NILGECQDSA-N
2723754,"1,2,3,4-tetrahydroacridin-9-amine;hydrochloride",C13H15ClN2,234.72,,38.9,2,2,0,16,,ZUFVXZVXEJHHBN-UHFFFAOYSA-N
9875401,"5-chloro-N-[[(5S)-2-oxo-3-[4-(3-oxomorpholin-4-yl)phenyl]-1,3-oxazolidin-5-yl]methyl]thiophene-2-carboxamide",C19H18ClN3O5S,435.9,2.5,116.0,1,6,5,29,,KGFYHTZWPPHNLQ-AWEZNQCLSA-N
118414016,"1-[[(2S,3S,4S)-3-ethyl-4-fluoro-5-oxopyrrolidin-2-yl]methoxy]-7-methoxyisoquinoline-6-carboxamide",C18H20FN3O4,361.4,2.0,104.0,2,6,6,26,,JKDGKIBAOAFRPJ-ZBINZKHDSA-N
27944,"(6S)-6-phenyl-2,3,5,6-tetrahydroimidazo[2,1-b][1,3]thiazole;hydrochloride",C11H13ClN2S,240.75,,40.9,1,2,1,15,,LAZPBGZRMVRFKY-HNCPQSOCSA-N
5312125,"1-(3-hydroxypropyl)-5-[(2R)-2-[2-[2-(2,2,2-trifluoroethoxy)phenoxy]ethylamino]propyl]-2,3-dihydroindole-7-carboxamide",C25H32F3N3O4,495.5,3.6,97.1,3,9,13,35,,PNCPYILNMDWPEY-QGZVFWFLSA-N
11491176,"N-[1-(2-fluorophenyl)pyrazol-3-yl]-1'-oxospiro[cyclohexane-4,3'-furo[3,4-c]pyridine]-1-carboxamide",C22H19FN4O3,406.4,2.6,86.1,1,6,3,30,,RMYZIRFUCOMQRH-UHFFFAOYSA-N
5311037,"8-[(E)-2-(3,4-dimethoxyphenyl)ethenyl]-1,3-diethyl-7-methylpurine-2,6-dione",C20H24N4O4,384.4,2.5,76.9,0,5,6,28,,IQVRBWUUXZMOPW-PKNBQFBNSA-N
49792852,"1-(2-hydroxyethyl)-8-[5-(4-methylpiperazin-1-yl)-2-(trifluoromethoxy)anilino]-4,5-dihydropyrazolo[4,5-h]quinazoline-3-carboxamide",C24H27F3N8O3,532.5,2.0,135.0,3,12,7,38,,QHLVBNKYJGBCQJ-UHFFFAOYSA-N
90241742,"6-[(1-acetylpiperidin-4-yl)amino]-N-[(2S)-3-(3,4-dihydro-1H-isoquinolin-2-yl)-2-hydroxypropyl]pyrimidine-4-carboxamide",C24H32N6O3,452.5,1.1,111.0,3,7,7,33,,JLCCNYVTIWRPIZ-NRFANRHFSA-N
5310966,"(1S,12R)-5,8,14-triazatetracyclo[10.3.1.02,11.04,9]hexadeca-2,4,6,8,10-pentaene",C13H13N3,211.26,0.8,37.8,1,3,0,16,,JQSHBVHOMNKWFT-DTORHVGOSA-N
9854489,"[(6S,8S,9R,10S,11S,13S,14S,16R,17R)-6,9-difluoro-17-(fluoromethylsulfanylcarbonyl)-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] furan-2-carboxylate",C27H29F3O6S,538.6,4.8,119.0,1,10,6,37,,XTULMSXFIHGYFS-VLSRWLAYSA-N
5284373,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",C62H111N11O12,1202.6,7.5,279.0,5,12,15,85,,PMATZTZNYRCHOR-CGLBZJNRSA-N
4075,5-amino-2-hydroxybenzoic acid,C7H7NO3,153.14,1.3,83.6,3,4,1,11,,KBOPZPXVLCULAV-UHFFFAOYSA-N
56949517,2-methyl-1-[[2-methyl-3-(trifluoromethyl)phenyl]methyl]-6-morpholin-4-ylbenzimidazole-4-carboxylic acid,C22H22F3N3O3,433.4,4.0,67.6,1,8,4,31,,XTKLTGBKIDQGQL-UHFFFAOYSA-N
59422203,"(2R)-2-methyl-2-[[2-(1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-4-yl]amino]-N-(2,2,2-trifluoroethyl)butanamide",C18H19F3N6O,392.4,3.1,95.6,3,8,6,28,,ASUGUQWIHMTFJL-QGZVFWFLSA-N
393111,"(6aS)-3-[3-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]propoxy]-2-methoxy-8-methylidene-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-11-one",C31H32N4O6,556.6,1.9,102.0,0,8,8,41,,RWZVMMQNDHPRQD-SFTDATJTSA-N
11270783,"3-ethyl-1-propyl-8-[1-[[3-(trifluoromethyl)phenyl]methyl]pyrazol-4-yl]-7H-purine-2,6-dione",C21H21F3N6O2,446.4,4.2,87.1,1,7,6,32,,KOYXXLLNCXWUNF-UHFFFAOYSA-N
3715,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid,C19H16ClNO4,357.8,4.3,68.5,1,4,4,25,,CGIGDMFJXJATDK-UHFFFAOYSA-N
122262,7-chloro-4-[4-[3-[4-(7-chloroquinolin-4-yl)piperazin-1-yl]propyl]piperazin-1-yl]quinoline,C29H32Cl2N6,535.5,5.6,38.7,0,6,6,37,,UCRHFBCYFMIWHC-UHFFFAOYSA-N
71584930,"1-[4-bromo-5-[1-ethyl-7-(methylamino)-2-oxo-1,6-naphthyridin-3-yl]-2-fluorophenyl]-3-phenylurea",C24H21BrFN5O2,510.4,4.1,86.4,3,5,5,33,,CEFJVGZHQAGLHS-UHFFFAOYSA-N
16719221,3-[[3-fluoro-2-(methylsulfamoylamino)-4-pyridinyl]methyl]-4-methyl-7-pyrimidin-2-yloxychromen-2-one,C21H18FN5O5S,471.5,2.0,141.0,2,11,7,33,,LMMJFBMMJUMSJS-UHFFFAOYSA-N
2179,N-[4-(acridin-9-ylamino)-3-methoxyphenyl]methanesulfonamide,C21H19N3O3S,393.5,4.0,88.7,2,6,5,28,,XCPGHVQEEXUHNC-UHFFFAOYSA-N
134780,"4-amino-2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione",C13H11N3O4,273.24,0.2,110.0,2,5,1,20,,UVSMNLNDYGZFPF-UHFFFAOYSA-N
71811910,"N-[(4aS,6aR,6bS,8aR,12aS,14aR,14bS)-11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,3,4,5,6,7,8,8a,14a,14b-decahydropicen-4a-yl]-2,2-difluoropropanamide",C33H44F2N2O3,554.7,6.7,87.0,1,6,2,40,,RJCWBNBKOKFWNY-IDPLTSGASA-N
24756910,7-[4-(3-ethynylanilino)-7-methoxyquinazolin-6-yl]oxy-N-hydroxyheptanamide,C24H26N4O4,434.5,4.0,106.0,3,7,12,32,,PLIVFNIUGLLCEK-UHFFFAOYSA-N
13789,"(8R,9S,10R,13S,14S,17R)-10,13-dimethylspiro[2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthrene-17,5'-oxolane]-2',3-dione",C22H28O3,340.5,2.7,43.4,0,3,0,25,,UJVLDDZCTMKXJK-WNHSNXHDSA-N
104741,"(7R,8R,9S,13S,14S,17S)-13-methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",C32H47F5O3S,606.8,9.2,76.7,2,9,14,41,,VWUXBMIQPBEWFH-WCCTWKNTSA-N
11671467,"[6-[[5-fluoro-2-(3,4,5-trimethoxyanilino)pyrimidin-4-yl]amino]-2,2-dimethyl-3-oxopyrido[3,2-b][1,4]oxazin-4-yl]methyl dihydrogen phosphate",C23H26FN6O9P,580.5,1.6,187.0,4,15,10,40,,GKDRMWXFWHEQQT-UHFFFAOYSA-N
42611257,"N-[3-[5-(4-chlorophenyl)-1H-pyrrolo[2,3-b]pyridine-3-carbonyl]-2,4-difluorophenyl]propane-1-sulfonamide",C23H18ClF2N3O3S,489.9,5.0,100.0,2,7,7,33,,GPXBXXGIAQBQNI-UHFFFAOYSA-N
11955855,1-[5-bromo-4-methyl-2-[[(2S)-morpholin-2-yl]methoxy]phenyl]-3-(5-methylpyrazin-2-yl)urea,C18H22BrN5O3,436.3,1.4,97.4,3,6,5,27,,SYYBDNPGDKKJDU-ZDUSSCGKSA-N
9782,"(8S,9R,10S,11S,13S,14S,16S,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",C22H29FO5,392.5,1.9,94.8,3,6,2,28,,UREBDLICKHMUKA-DVTGEIKXSA-N
5070,"6-(trifluoromethoxy)-1,3-benzothiazol-2-amine",C8H5F3N2OS,234.20,3.6,76.4,1,7,1,15,,FTALBRSUTCGOEG-UHFFFAOYSA-N
102426,1-(cyclohexylamino)propan-2-yl benzoate;hydrochloride,C16H24ClNO2,297.82,,38.3,2,3,6,20,,MTFCPNHRBINLRQ-UHFFFAOYSA-N
11561383,5-cyclopropyl-2-(4-fluorophenyl)-6-[2-hydroxyethyl(methylsulfonyl)amino]-N-methyl-1-benzofuran-3-carboxamide,C22H23FN2O5S,446.5,2.7,108.0,2,7,7,31,,WTDWVLJJJOTABN-UHFFFAOYSA-N
16124208,"5-(3-ethylsulfonylphenyl)-3,8-dimethyl-N-(1-methylpiperidin-4-yl)-9H-pyrido[2,3-b]indole-7-carboxamide",C28H32N4O3S,504.6,4.5,104.0,2,5,5,36,,WKDACQVEJIVHMZ-UHFFFAOYSA-N
24905401,(1S)-2-amino-1-(4-chlorophenyl)-1-[4-(1H-pyrazol-4-yl)phenyl]ethanol,C17H16ClN3O,313.8,2.2,74.9,3,3,4,22,,IIRWNGPLJQXWFJ-KRWDZBQOSA-N
66249,"[2-[(1S,2R,13S,14S,16R,17R,18S,20S)-17,20-dihydroxy-2,11,16,18-tetramethyl-7-phenyl-6,7-diazapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5,9,11-tetraen-17-yl]-2-oxoethyl] acetate",C32H38N2O5,530.7,3.9,102.0,2,6,5,39,,RKHQGWMMUURILY-UHRZLXHJSA-N
77082,4-[5-[bis(2-chloroethyl)amino]-1-methylbenzimidazol-2-yl]butanoic acid;hydrochloride,C16H22Cl3N3O2,394.7,,58.4,2,4,9,24,,ZHSKUOZOLHMKEA-UHFFFAOYSA-N
44595079,4-(cyclopropylamino)-2-[4-(4-ethylsulfonylpiperazin-1-yl)anilino]pyrimidine-5-carboxamide,C20H27N7O3S,445.5,1.9,142.0,3,9,8,31,,BGLPECHZZQDNCD-UHFFFAOYSA-N
107751,benzyl 2-[[2-(acetylsulfanylmethyl)-3-phenylpropanoyl]amino]acetate,C21H23NO4S,385.5,3.3,97.8,1,5,11,27,,ODUOJXZPIYUATO-UHFFFAOYSA-N
53380437,"2-[1-[1-[3-fluoro-2-(trifluoromethyl)pyridine-4-carbonyl]piperidin-4-yl]-3-[4-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)pyrazol-1-yl]azetidin-3-yl]acetonitrile",C26H23F4N9O,553.5,1.6,120.0,1,11,5,40,,KTBSXLIQKWEBRB-UHFFFAOYSA-N
135403821,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-26-[(E)-(4-cyclopentylpiperazin-1-yl)iminomethyl]-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",C47H64N4O12,877.0,6.7,220.0,6,15,6,63,,WDZCUPBHRAEYDL-GZAUEHORSA-N
4477,5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,C13H8Cl2N2O4,327.12,4.0,95.2,2,4,2,21,,RJMUSRYZPJIFPJ-UHFFFAOYSA-N
11399764,"N-[2-[2-[4-[2-(6,7-dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl)ethyl]phenyl]tetrazol-5-yl]-4,5-dimethoxyphenyl]-4-oxochromene-2-carboxamide",C38H36N6O7,688.7,5.8,139.0,1,11,11,51,,AHJUHHDDCJQACA-UHFFFAOYSA-N
216326,"3-(7-amino-3-oxo-1H-isoindol-2-yl)piperidine-2,6-dione",C13H13N3O3,259.26,-0.5,92.5,2,4,1,19,,GOTYRUGSSMKFNF-UHFFFAOYSA-N
101526,"7-[(4aS,7aS)-1,2,3,4,4a,5,7,7a-octahydropyrrolo[3,4-b]pyridin-6-yl]-1-cyclopropyl-6-fluoro-8-methoxy-4-oxoquinoline-3-carboxylic acid;hydrochloride",C21H25ClFN3O4,437.9,,82.1,3,8,4,30,,IDIIJJHBXUESQI-DFIJPDEKSA-N
25249,"(1S,2S,10S,13R,14S,17S,18S)-2,17,18-trimethyl-6,7-diazapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5-dien-17-ol",C21H32N2O,328.5,4.5,48.9,2,2,0,24,,LKAJKIOFIWVMDJ-IYRCEVNGSA-N
68589,"1-[2-[(4-chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole;nitric acid",C18H16Cl3N3O4,444.7,,93.1,1,5,6,28,,DDXORDQKGIZAME-UHFFFAOYSA-N
135398739,"9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",C10H12N4O3,236.23,-1.2,88.7,2,5,2,17,,BXZVVICBKDXVGW-NKWVEPMBSA-N
10288191,6-(4-bromo-2-fluoroanilino)-7-fluoro-N-(2-hydroxyethoxy)-3-methylbenzimidazole-5-carboxamide,C17H15BrF2N4O3,441.2,3.1,88.4,3,7,6,27,,ACWZRVQXLIRSDF-UHFFFAOYSA-N
60662,"[(1S,2S)-2-[2-[3-(1H-benzimidazol-2-yl)propyl-methylamino]ethyl]-6-fluoro-1-propan-2-yl-3,4-dihydro-1H-naphthalen-2-yl] 2-methoxyacetate;dihydrochloride",C29H40Cl2FN3O3,568.5,,67.5,3,6,12,38,,MTJLQTFHJIHXIX-GDUXWEAWSA-N
5564,"5-chloro-2-(2,4-dichlorophenoxy)phenol",C12H7Cl3O2,289.5,5.0,29.5,1,2,2,17,,XEFQLINVKFYRCS-UHFFFAOYSA-N
392622,"1,3-thiazol-5-ylmethyl N-[(2S,3S,5S)-3-hydroxy-5-[[(2S)-3-methyl-2-[[methyl-[(2-propan-2-yl-1,3-thiazol-4-yl)methyl]carbamoyl]amino]butanoyl]amino]-1,6-diphenylhexan-2-yl]carbamate",C37H48N6O5S2,720.9,6.0,202.0,4,9,18,50,,NCDNCNXCDXHOMX-XGKFQTDJSA-N
11256664,2-[(4-hydroxy-1-methyl-7-phenoxyisoquinoline-3-carbonyl)amino]acetic acid,C19H16N2O5,352.3,3.4,109.0,3,6,5,26,,YOZBGTLTNGAVFU-UHFFFAOYSA-N
64142,"(3S,4aS,8aS)-N-tert-butyl-2-[(2R,3R)-2-hydroxy-3-[(3-hydroxy-2-methylbenzoyl)amino]-4-phenylsulfanylbutyl]-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinoline-3-carboxamide;methanesulfonic acid",C33H49N3O7S2,663.9,,190.0,5,9,10,45,,NQHXCOAXSHGTIA-SKXNDZRYSA-N
6215,"(1S,2S,4R,8S,9S,11S,12R,13S,19S)-12,19-difluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one",C24H30F2O6,452.5,2.5,93.1,2,8,2,32,,FEBLZLNTKCEFIT-VSXGLTOVSA-N
5379,1-cyclopropyl-6-fluoro-8-methoxy-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid,C19H22FN3O4,375.4,-0.7,82.1,2,8,4,27,,XUBOMFCQGDBHNK-UHFFFAOYSA-N
454216,"[2-oxo-2-[(2S,4S)-2,5,12-trihydroxy-4-[(2R,4S,5S,6S)-5-hydroxy-6-methyl-4-[(2,2,2-trifluoroacetyl)amino]oxan-2-yl]oxy-7-methoxy-6,11-dioxo-3,4-dihydro-1H-tetracen-2-yl]ethyl] pentanoate",C34H36F3NO13,723.6,4.0,215.0,5,16,11,51,,ZOCKGBMQLCSHFP-KQRAQHLDSA-N
65340,"4-(2-aminoethyl)benzene-1,2-diol;hydrochloride",C8H12ClNO2,189.64,,66.5,4,3,2,12,,CTENFNNZBMHDDG-UHFFFAOYSA-N
9811611,"3-[(4-bromo-2,6-difluorophenyl)methoxy]-5-(4-pyrrolidin-1-ylbutylcarbamoylamino)-1,2-thiazole-4-carboxamide",C20H24BrF2N5O3S,532.4,3.7,138.0,3,8,10,32,,HXHAJRMTJXHJJZ-UHFFFAOYSA-N
71764,"N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide;hydrochloride",C19H28ClN5O4,425.9,,112.0,3,8,8,29,,YTNKWDJILNVLGX-UHFFFAOYSA-N
5849,"1-methyl-1-[5-(1-methylpyrrolidin-1-ium-1-yl)pentyl]pyrrolidin-1-ium;bis((2R,3R)-2,3,4-trihydroxy-4-oxobutanoate)",C23H42N2O12,538.6,,236.0,6,12,10,37,,HSMKTIKKPMTUQH-WBPXWQEISA-L
123608,5-amino-4-oxopentanoic acid;hydrochloride,C5H10ClNO3,167.59,,80.4,3,4,4,10,,ZLHFONARZHCSET-UHFFFAOYSA-N
65948,"3-O-(1-benzhydrylazetidin-3-yl) 5-O-propan-2-yl 2-amino-6-methyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",C33H34N4O6,582.6,6.0,140.0,2,9,10,43,,ZKFQEACEUNWPMT-UHFFFAOYSA-N
57384863,"5-(6,6-dimethyl-4-morpholin-4-yl-8,9-dihydropurino[8,9-c][1,4]oxazin-2-yl)pyrimidin-2-amine",C18H22N8O2,382.4,-0.3,117.0,1,9,2,28,,LGWACEZVCMBSKW-UHFFFAOYSA-N
