ID,Drug1,Drug2,Cell line,ZIP,classification
111,AZD1775,TOPOTECAN,A2058,8.65,Synergy
112,AZD1775,TOPOTECAN,A2058,7.54,Synergy
113,AZD1775,TOPOTECAN,A2058,5.84,No_Effect
114,BEZ-235,DINACICLIB,A2058,5.48,No_Effect
115,BEZ-235,DINACICLIB,A2058,6.3,No_Effect
116,BEZ-235,DINACICLIB,A2058,5.75,No_Effect
117,BEZ-235,MK-8776,A2058,9.73,Synergy
118,BEZ-235,MK-8776,A2058,8.19,Synergy
119,BEZ-235,MK-8776,A2058,13.23,Synergy
120,BEZ-235,MK-8776,A2058,10.93,Synergy
129,BORTEZOMIB,BEZ-235,A2058,8.12,Synergy
130,BORTEZOMIB,MK-8776,A2058,7.58,Synergy
137,BORTEZOMIB,TOPOTECAN,A2058,5.77,No_Effect
226,DASATINIB,ABT-888,A2058,-5.57,No_Effect
227,DASATINIB,ABT-888,A2058,-6.04,No_Effect
228,DASATINIB,ABT-888,A2058,-5.88,No_Effect
229,DASATINIB,BEZ-235,A2058,6.46,No_Effect
230,DASATINIB,BEZ-235,A2058,6.66,No_Effect
231,DASATINIB,BEZ-235,A2058,10.15,Synergy
232,DASATINIB,BEZ-235,A2058,13.54,Synergy
233,DASATINIB,DINACICLIB,A2058,7.08,No_Effect
234,DASATINIB,DINACICLIB,A2058,7.59,Synergy
235,DASATINIB,DINACICLIB,A2058,10.5,Synergy
236,DASATINIB,MK-8669,A2058,14.99,Synergy
237,DASATINIB,MK-8669,A2058,7.26,No_Effect
238,DASATINIB,MK-8669,A2058,12.11,Synergy
239,DASATINIB,MK-8669,A2058,9.44,Synergy
240,DASATINIB,MK-8776,A2058,5.86,No_Effect
241,DASATINIB,MK-8776,A2058,9.35,Synergy
242,DASATINIB,MK-8776,A2058,7.85,Synergy
243,DASATINIB,MK-8776,A2058,7.36,No_Effect
251,DASATINIB,TOPOTECAN,A2058,9.3,Synergy
252,DEXAMETHASONE,ABT-888,A2058,5.45,No_Effect
253,DEXAMETHASONE,ABT-888,A2058,5.45,No_Effect
254,DEXAMETHASONE,ABT-888,A2058,5.45,No_Effect
255,DEXAMETHASONE,ABT-888,A2058,5.45,No_Effect
256,DEXAMETHASONE,AZD1775,A2058,8.01,Synergy
257,DEXAMETHASONE,AZD1775,A2058,6.36,No_Effect
258,DEXAMETHASONE,BEZ-235,A2058,9.31,Synergy
259,DEXAMETHASONE,BEZ-235,A2058,11.98,Synergy
260,DEXAMETHASONE,BEZ-235,A2058,9.66,Synergy
261,DEXAMETHASONE,BEZ-235,A2058,8.95,Synergy
262,DEXAMETHASONE,BORTEZOMIB,A2058,5.9,No_Effect
263,DEXAMETHASONE,BORTEZOMIB,A2058,5.8,No_Effect
264,DEXAMETHASONE,BORTEZOMIB,A2058,5.13,No_Effect
265,DEXAMETHASONE,DASATINIB,A2058,8.05,Synergy
266,DEXAMETHASONE,DINACICLIB,A2058,8.4,Synergy
267,DEXAMETHASONE,DINACICLIB,A2058,6.69,No_Effect
268,DEXAMETHASONE,DINACICLIB,A2058,9.28,Synergy
274,DEXAMETHASONE,MK-2206,A2058,9.68,Synergy
275,DEXAMETHASONE,MK-2206,A2058,9.74,Synergy
277,DEXAMETHASONE,MK-8669,A2058,9.75,Synergy
278,DEXAMETHASONE,MK-8669,A2058,15.05,Synergy
279,DEXAMETHASONE,MK-8776,A2058,14.47,Synergy
280,DEXAMETHASONE,PD325901,A2058,11.1,Synergy
281,DEXAMETHASONE,PD325901,A2058,10.85,Synergy
282,DEXAMETHASONE,PD325901,A2058,11.1,Synergy
283,DEXAMETHASONE,PD325901,A2058,11.66,Synergy
288,DEXAMETHASONE,SUNITINIB,A2058,16.04,Synergy
289,DEXAMETHASONE,SUNITINIB,A2058,18.68,Synergy
290,DEXAMETHASONE,SUNITINIB,A2058,20.34,Synergy
291,DEXAMETHASONE,SUNITINIB,A2058,12.68,Synergy
292,DEXAMETHASONE,TEMOZOLOMIDE,A2058,7.42,No_Effect
293,DEXAMETHASONE,ZOLINZA,A2058,9.15,Synergy
294,DEXAMETHASONE,ZOLINZA,A2058,7.46,No_Effect
295,DEXAMETHASONE,ZOLINZA,A2058,6.03,No_Effect
296,DEXAMETHASONE,ZOLINZA,A2058,15.65,Synergy
320,ETOPOSIDE,ABT-888,A2058,6.07,No_Effect
321,ETOPOSIDE,AZD1775,A2058,9.99,Synergy
322,ETOPOSIDE,AZD1775,A2058,9.59,Synergy
323,ETOPOSIDE,AZD1775,A2058,9.7,Synergy
324,ETOPOSIDE,AZD1775,A2058,10.48,Synergy
325,ETOPOSIDE,BORTEZOMIB,A2058,8.17,Synergy
326,ETOPOSIDE,DINACICLIB,A2058,5.68,No_Effect
331,ETOPOSIDE,MK-2206,A2058,6.46,No_Effect
332,ETOPOSIDE,MK-2206,A2058,9.27,Synergy
333,ETOPOSIDE,MK-2206,A2058,8.73,Synergy
336,ETOPOSIDE,MK-8776,A2058,10.62,Synergy
337,ETOPOSIDE,MK-8776,A2058,8.52,Synergy
338,ETOPOSIDE,MK-8776,A2058,11.01,Synergy
339,ETOPOSIDE,MK-8776,A2058,10.01,Synergy
340,ETOPOSIDE,PD325901,A2058,7.04,No_Effect
342,ETOPOSIDE,ZOLINZA,A2058,9.65,Synergy
343,ETOPOSIDE,ZOLINZA,A2058,5.56,No_Effect
344,ETOPOSIDE,ZOLINZA,A2058,5.67,No_Effect
345,ETOPOSIDE,ZOLINZA,A2058,7.25,No_Effect
373,GEMCITABINE,ABT-888,A2058,9.27,Synergy
374,GEMCITABINE,ABT-888,A2058,7.3,No_Effect
375,GEMCITABINE,AZD1775,A2058,32.24,Synergy
376,GEMCITABINE,AZD1775,A2058,26.38,Synergy
377,GEMCITABINE,AZD1775,A2058,31.06,Synergy
378,GEMCITABINE,AZD1775,A2058,27.75,Synergy
379,GEMCITABINE,BEZ-235,A2058,5.72,No_Effect
380,GEMCITABINE,BEZ-235,A2058,7.53,Synergy
381,GEMCITABINE,BEZ-235,A2058,14.1,Synergy
382,GEMCITABINE,BEZ-235,A2058,8.82,Synergy
383,GEMCITABINE,BORTEZOMIB,A2058,23.21,Synergy
384,GEMCITABINE,BORTEZOMIB,A2058,5.86,No_Effect
385,GEMCITABINE,BORTEZOMIB,A2058,7.56,Synergy
386,GEMCITABINE,DASATINIB,A2058,7.22,No_Effect
387,GEMCITABINE,DINACICLIB,A2058,10.78,Synergy
388,GEMCITABINE,DINACICLIB,A2058,6.06,No_Effect
389,GEMCITABINE,DINACICLIB,A2058,7.18,No_Effect
390,GEMCITABINE,DINACICLIB,A2058,11.09,Synergy
400,GEMCITABINE,MK-2206,A2058,14.05,Synergy
401,GEMCITABINE,MK-2206,A2058,7.68,Synergy
402,GEMCITABINE,MK-2206,A2058,20.21,Synergy
403,GEMCITABINE,MK-2206,A2058,9.97,Synergy
408,GEMCITABINE,MK-8669,A2058,12.89,Synergy
409,GEMCITABINE,MK-8669,A2058,5.9,No_Effect
410,GEMCITABINE,MK-8669,A2058,11.18,Synergy
411,GEMCITABINE,MK-8669,A2058,5.4,No_Effect
412,GEMCITABINE,MK-8776,A2058,35.74,Synergy
413,GEMCITABINE,MK-8776,A2058,34.96,Synergy
414,GEMCITABINE,MK-8776,A2058,36.68,Synergy
415,GEMCITABINE,MK-8776,A2058,36.33,Synergy
416,GEMCITABINE,PD325901,A2058,5.85,No_Effect
417,GEMCITABINE,PD325901,A2058,11.97,Synergy
419,GEMCITABINE,SUNITINIB,A2058,7.03,No_Effect
420,GEMCITABINE,SUNITINIB,A2058,8.67,Synergy
421,GEMCITABINE,SUNITINIB,A2058,8.41,Synergy
422,GEMCITABINE,SUNITINIB,A2058,9.04,Synergy
423,GEMCITABINE,TEMOZOLOMIDE,A2058,8.88,Synergy
424,GEMCITABINE,TEMOZOLOMIDE,A2058,14.78,Synergy
596,METHOTREXATE,BEZ-235,A2058,-7.2,No_Effect
597,METHOTREXATE,BEZ-235,A2058,-7.74,Antagonism
598,METHOTREXATE,BEZ-235,A2058,-6.74,No_Effect
599,METHOTREXATE,BEZ-235,A2058,-6.6,No_Effect
600,METHOTREXATE,DASATINIB,A2058,8.31,Synergy
601,METHOTREXATE,DINACICLIB,A2058,6.42,No_Effect
602,METHOTREXATE,DINACICLIB,A2058,5.21,No_Effect
608,METHOTREXATE,MK-4827,A2058,-6.56,No_Effect
609,METHOTREXATE,MK-4827,A2058,-5.68,No_Effect
611,METHOTREXATE,MK-8669,A2058,-5.62,No_Effect
612,METHOTREXATE,TEMOZOLOMIDE,A2058,-6.88,No_Effect
613,METHOTREXATE,TEMOZOLOMIDE,A2058,-7.9,Antagonism
614,METHOTREXATE,TEMOZOLOMIDE,A2058,-7.22,No_Effect
615,METHOTREXATE,TEMOZOLOMIDE,A2058,-9.3,Antagonism
616,METHOTREXATE,ZOLINZA,A2058,-5.56,No_Effect
617,METHOTREXATE,ZOLINZA,A2058,-5.31,No_Effect
618,MITOMYCINE,ABT-888,A2058,14.45,Synergy
619,MITOMYCINE,ABT-888,A2058,10.67,Synergy
620,MITOMYCINE,ABT-888,A2058,16.77,Synergy
621,MITOMYCINE,ABT-888,A2058,12.88,Synergy
622,MITOMYCINE,AZD1775,A2058,13.5,Synergy
623,MITOMYCINE,AZD1775,A2058,13.98,Synergy
624,MITOMYCINE,AZD1775,A2058,17.11,Synergy
625,MITOMYCINE,AZD1775,A2058,14.01,Synergy
626,MITOMYCINE,BEZ-235,A2058,6.64,No_Effect
627,MITOMYCINE,BORTEZOMIB,A2058,9,Synergy
628,MITOMYCINE,BORTEZOMIB,A2058,9.74,Synergy
629,MITOMYCINE,BORTEZOMIB,A2058,10.34,Synergy
630,MITOMYCINE,BORTEZOMIB,A2058,9.53,Synergy
631,MITOMYCINE,DASATINIB,A2058,14.3,Synergy
632,MITOMYCINE,DASATINIB,A2058,11.57,Synergy
633,MITOMYCINE,DASATINIB,A2058,8.98,Synergy
634,MITOMYCINE,DASATINIB,A2058,12.83,Synergy
635,MITOMYCINE,DINACICLIB,A2058,10.4,Synergy
636,MITOMYCINE,DINACICLIB,A2058,5.13,No_Effect
637,MITOMYCINE,DINACICLIB,A2058,7.64,Synergy
638,MITOMYCINE,DINACICLIB,A2058,7.85,Synergy
651,MITOMYCINE,MK-2206,A2058,7.27,No_Effect
652,MITOMYCINE,MK-2206,A2058,9.7,Synergy
653,MITOMYCINE,MK-2206,A2058,8.32,Synergy
654,MITOMYCINE,MK-2206,A2058,6.67,No_Effect
657,MITOMYCINE,MK-8669,A2058,5.22,No_Effect
658,MITOMYCINE,MK-8669,A2058,5.83,No_Effect
659,MITOMYCINE,MK-8776,A2058,23.34,Synergy
660,MITOMYCINE,MK-8776,A2058,23.98,Synergy
661,MITOMYCINE,MK-8776,A2058,24.01,Synergy
662,MITOMYCINE,MK-8776,A2058,24.92,Synergy
663,MITOMYCINE,PD325901,A2058,16.11,Synergy
664,MITOMYCINE,PD325901,A2058,15.74,Synergy
665,MITOMYCINE,PD325901,A2058,14.04,Synergy
666,MITOMYCINE,PD325901,A2058,18.29,Synergy
671,MITOMYCINE,SUNITINIB,A2058,7.68,Synergy
672,MITOMYCINE,SUNITINIB,A2058,9.39,Synergy
673,MITOMYCINE,SUNITINIB,A2058,8.37,Synergy
674,MITOMYCINE,SUNITINIB,A2058,9.21,Synergy
675,MITOMYCINE,TEMOZOLOMIDE,A2058,7.51,Synergy
676,MITOMYCINE,ZOLINZA,A2058,15.83,Synergy
677,MITOMYCINE,ZOLINZA,A2058,16.04,Synergy
678,MITOMYCINE,ZOLINZA,A2058,16.29,Synergy
679,MITOMYCINE,ZOLINZA,A2058,18.17,Synergy
680,MK-2206,BEZ-235,A2058,7.93,Synergy
681,MK-2206,BEZ-235,A2058,11.49,Synergy
682,MK-2206,BEZ-235,A2058,6.48,No_Effect
683,MK-2206,BEZ-235,A2058,13.46,Synergy
684,MK-2206,DASATINIB,A2058,6.77,No_Effect
685,MK-2206,DASATINIB,A2058,9.8,Synergy
686,MK-2206,DASATINIB,A2058,18.51,Synergy
687,MK-2206,DASATINIB,A2058,14.98,Synergy
693,MK-2206,MK-8669,A2058,21.07,Synergy
694,MK-2206,MK-8669,A2058,9.97,Synergy
696,MK-2206,PD325901,A2058,11.59,Synergy
697,MK-2206,PD325901,A2058,12.13,Synergy
698,MK-2206,PD325901,A2058,7.29,No_Effect
699,MK-2206,PD325901,A2058,11.51,Synergy
705,MK-2206,TOPOTECAN,A2058,10.56,Synergy
706,MK-2206,TOPOTECAN,A2058,5.27,No_Effect
707,MK-2206,TOPOTECAN,A2058,6.84,No_Effect
747,MK-4827,ABT-888,A2058,6.24,No_Effect
748,MK-4827,BEZ-235,A2058,-5.76,No_Effect
753,MK-4827,MK-2206,A2058,8.21,Synergy
754,MK-4827,MK-2206,A2058,15.96,Synergy
755,MK-4827,MK-2206,A2058,22.06,Synergy
756,MK-4827,MK-8669,A2058,12.39,Synergy
757,MK-4827,MK-8776,A2058,18.01,Synergy
758,MK-4827,MK-8776,A2058,13.19,Synergy
759,MK-4827,MK-8776,A2058,15.76,Synergy
760,MK-4827,MK-8776,A2058,18.41,Synergy
768,MK-4827,TOPOTECAN,A2058,5.23,No_Effect
769,MK-4827,TOPOTECAN,A2058,6.6,No_Effect
791,MK-8669,BEZ-235,A2058,18.23,Synergy
792,MK-8669,BEZ-235,A2058,19.52,Synergy
793,MK-8669,BEZ-235,A2058,19.63,Synergy
794,MK-8669,BEZ-235,A2058,16.8,Synergy
795,MK-8669,DINACICLIB,A2058,6.51,No_Effect
798,MK-8669,MK-8776,A2058,10.62,Synergy
799,MK-8669,MK-8776,A2058,5.93,No_Effect
898,PACLITAXEL,ABT-888,A2058,14.12,Synergy
899,PACLITAXEL,ABT-888,A2058,16.39,Synergy
900,PACLITAXEL,BEZ-235,A2058,5.26,No_Effect
910,PACLITAXEL,PD325901,A2058,21.22,Synergy
911,PACLITAXEL,PD325901,A2058,6.53,No_Effect
912,PACLITAXEL,SUNITINIB,A2058,5.7,No_Effect
913,PACLITAXEL,SUNITINIB,A2058,6.02,No_Effect
914,PACLITAXEL,SUNITINIB,A2058,7.2,No_Effect
915,PD325901,ABT-888,A2058,15.6,Synergy
916,PD325901,BEZ-235,A2058,10.72,Synergy
917,PD325901,BEZ-235,A2058,10.84,Synergy
918,PD325901,BEZ-235,A2058,13.91,Synergy
919,PD325901,BEZ-235,A2058,13.33,Synergy
920,PD325901,DINACICLIB,A2058,11.9,Synergy
921,PD325901,MK-8669,A2058,11.55,Synergy
922,PD325901,MK-8669,A2058,11.13,Synergy
923,PD325901,MK-8669,A2058,15.97,Synergy
930,PD325901,TOPOTECAN,A2058,6.73,No_Effect
949,SUNITINIB,ABT-888,A2058,9.83,Synergy
950,SUNITINIB,ABT-888,A2058,11.47,Synergy
951,SUNITINIB,ABT-888,A2058,16.48,Synergy
952,SUNITINIB,ABT-888,A2058,15.27,Synergy
953,SUNITINIB,AZD1775,A2058,11.76,Synergy
954,SUNITINIB,AZD1775,A2058,8.52,Synergy
955,SUNITINIB,AZD1775,A2058,7.6,Synergy
956,SUNITINIB,AZD1775,A2058,10.16,Synergy
957,SUNITINIB,BEZ-235,A2058,12.97,Synergy
958,SUNITINIB,BEZ-235,A2058,14.78,Synergy
959,SUNITINIB,BEZ-235,A2058,15.1,Synergy
960,SUNITINIB,BEZ-235,A2058,12.98,Synergy
961,SUNITINIB,BORTEZOMIB,A2058,5.16,No_Effect
962,SUNITINIB,BORTEZOMIB,A2058,5.29,No_Effect
963,SUNITINIB,BORTEZOMIB,A2058,8.53,Synergy
964,SUNITINIB,DASATINIB,A2058,16.99,Synergy
965,SUNITINIB,DASATINIB,A2058,11.54,Synergy
966,SUNITINIB,DASATINIB,A2058,16.31,Synergy
967,SUNITINIB,DASATINIB,A2058,20.75,Synergy
968,SUNITINIB,DINACICLIB,A2058,9.78,Synergy
969,SUNITINIB,DINACICLIB,A2058,7.44,No_Effect
970,SUNITINIB,DINACICLIB,A2058,17.86,Synergy
971,SUNITINIB,DINACICLIB,A2058,13.28,Synergy
984,SUNITINIB,MK-2206,A2058,24.91,Synergy
985,SUNITINIB,MK-2206,A2058,27.89,Synergy
986,SUNITINIB,MK-2206,A2058,23.7,Synergy
987,SUNITINIB,MK-2206,A2058,27.3,Synergy
988,SUNITINIB,MK-4827,A2058,10.41,Synergy
989,SUNITINIB,MK-8669,A2058,19.68,Synergy
990,SUNITINIB,MK-8669,A2058,24.11,Synergy
991,SUNITINIB,MK-8669,A2058,26.41,Synergy
992,SUNITINIB,MK-8669,A2058,21.15,Synergy
993,SUNITINIB,MK-8776,A2058,20.17,Synergy
994,SUNITINIB,MK-8776,A2058,15.52,Synergy
995,SUNITINIB,MK-8776,A2058,14.58,Synergy
996,SUNITINIB,MK-8776,A2058,12.98,Synergy
999,SUNITINIB,PD325901,A2058,11.82,Synergy
1000,SUNITINIB,PD325901,A2058,11.2,Synergy
1001,SUNITINIB,PD325901,A2058,10.79,Synergy
1002,SUNITINIB,PD325901,A2058,7.27,No_Effect
1011,SUNITINIB,TOPOTECAN,A2058,5.48,No_Effect
1012,TEMOZOLOMIDE,ABT-888,A2058,14.66,Synergy
1013,TEMOZOLOMIDE,ABT-888,A2058,20.37,Synergy
1014,TEMOZOLOMIDE,ABT-888,A2058,18.15,Synergy
1015,TEMOZOLOMIDE,ABT-888,A2058,11.87,Synergy
1016,TEMOZOLOMIDE,AZD1775,A2058,15.01,Synergy
1017,TEMOZOLOMIDE,AZD1775,A2058,10.65,Synergy
1018,TEMOZOLOMIDE,AZD1775,A2058,16.18,Synergy
1019,TEMOZOLOMIDE,AZD1775,A2058,13.77,Synergy
1020,TEMOZOLOMIDE,BORTEZOMIB,A2058,10.35,Synergy
1021,TEMOZOLOMIDE,DINACICLIB,A2058,5.03,No_Effect
1028,TEMOZOLOMIDE,MK-2206,A2058,7.16,No_Effect
1029,TEMOZOLOMIDE,MK-8776,A2058,30.01,Synergy
1030,TEMOZOLOMIDE,MK-8776,A2058,28.36,Synergy
1031,TEMOZOLOMIDE,MK-8776,A2058,30.62,Synergy
1032,TEMOZOLOMIDE,MK-8776,A2058,31.65,Synergy
1034,TEMOZOLOMIDE,PD325901,A2058,7.64,Synergy
1035,TEMOZOLOMIDE,PD325901,A2058,6.59,No_Effect
1036,TEMOZOLOMIDE,PD325901,A2058,5.51,No_Effect
1037,TEMOZOLOMIDE,PD325901,A2058,8.83,Synergy
1040,TOPOTECAN,DINACICLIB,A2058,6.53,No_Effect
1041,TOPOTECAN,DINACICLIB,A2058,5.57,No_Effect
1042,TOPOTECAN,MK-8776,A2058,10.05,Synergy
1043,TOPOTECAN,MK-8776,A2058,10.79,Synergy
1044,TOPOTECAN,MK-8776,A2058,7.81,Synergy
1045,TOPOTECAN,MK-8776,A2058,12.14,Synergy
1102,ZOLINZA,ABT-888,A2058,12.37,Synergy
1103,ZOLINZA,ABT-888,A2058,17.39,Synergy
1104,ZOLINZA,ABT-888,A2058,8.2,Synergy
1105,ZOLINZA,AZD1775,A2058,13.04,Synergy
1106,ZOLINZA,AZD1775,A2058,7.37,No_Effect
1107,ZOLINZA,AZD1775,A2058,15.49,Synergy
1108,ZOLINZA,AZD1775,A2058,11.38,Synergy
1109,ZOLINZA,BEZ-235,A2058,13.17,Synergy
1110,ZOLINZA,BEZ-235,A2058,7.22,No_Effect
1111,ZOLINZA,BEZ-235,A2058,10.23,Synergy
1112,ZOLINZA,BEZ-235,A2058,11.23,Synergy
1113,ZOLINZA,BORTEZOMIB,A2058,5.92,No_Effect
1114,ZOLINZA,BORTEZOMIB,A2058,6.75,No_Effect
1115,ZOLINZA,BORTEZOMIB,A2058,6.02,No_Effect
1116,ZOLINZA,BORTEZOMIB,A2058,9.39,Synergy
1117,ZOLINZA,DASATINIB,A2058,15.49,Synergy
1118,ZOLINZA,DASATINIB,A2058,7.97,Synergy
1119,ZOLINZA,DASATINIB,A2058,5.45,No_Effect
1128,ZOLINZA,GEMCITABINE,A2058,8.29,Synergy
1129,ZOLINZA,GEMCITABINE,A2058,11.6,Synergy
1130,ZOLINZA,GEMCITABINE,A2058,6.16,No_Effect
1134,ZOLINZA,MK-2206,A2058,14.8,Synergy
1135,ZOLINZA,MK-4827,A2058,6.85,No_Effect
1136,ZOLINZA,MK-4827,A2058,5.97,No_Effect
1138,ZOLINZA,MK-8669,A2058,5.04,No_Effect
1139,ZOLINZA,MK-8669,A2058,8.9,Synergy
1140,ZOLINZA,MK-8669,A2058,11.3,Synergy
1141,ZOLINZA,MK-8669,A2058,12.75,Synergy
1142,ZOLINZA,MK-8776,A2058,14.28,Synergy
1143,ZOLINZA,MK-8776,A2058,16,Synergy
1144,ZOLINZA,MK-8776,A2058,17.58,Synergy
1145,ZOLINZA,MK-8776,A2058,14.42,Synergy
1150,ZOLINZA,PD325901,A2058,7.41,No_Effect
1151,ZOLINZA,PD325901,A2058,5.35,No_Effect
1152,ZOLINZA,PD325901,A2058,8.37,Synergy
1160,ZOLINZA,SUNITINIB,A2058,10.56,Synergy
1161,ZOLINZA,SUNITINIB,A2058,10.78,Synergy
1162,ZOLINZA,SUNITINIB,A2058,9.71,Synergy
1163,ZOLINZA,SUNITINIB,A2058,9.18,Synergy
1164,ZOLINZA,TEMOZOLOMIDE,A2058,15.26,Synergy
1165,ZOLINZA,TEMOZOLOMIDE,A2058,10.3,Synergy
1166,ZOLINZA,TEMOZOLOMIDE,A2058,10.6,Synergy
1167,ZOLINZA,TEMOZOLOMIDE,A2058,11.97,Synergy
1168,ZOLINZA,TOPOTECAN,A2058,6.55,No_Effect
1169,ZOLINZA,TOPOTECAN,A2058,8.81,Synergy
1170,ZOLINZA,TOPOTECAN,A2058,5.12,No_Effect
1171,ZOLINZA,TOPOTECAN,A2058,8.05,Synergy
1172,5-FU,ABT-888,A2780,8.06,Synergy
1173,5-FU,ABT-888,A2780,7.17,No_Effect
1174,5-FU,ABT-888,A2780,9.43,Synergy
1175,5-FU,ABT-888,A2780,9.12,Synergy
1176,5-FU,AZD1775,A2780,8.91,Synergy
1177,5-FU,AZD1775,A2780,20.42,Synergy
1178,5-FU,AZD1775,A2780,26.37,Synergy
1179,5-FU,AZD1775,A2780,10.24,Synergy
1180,5-FU,BEZ-235,A2780,6.09,No_Effect
1181,5-FU,DASATINIB,A2780,10.42,Synergy
1182,5-FU,DASATINIB,A2780,11.49,Synergy
1183,5-FU,DASATINIB,A2780,11.51,Synergy
1184,5-FU,DASATINIB,A2780,13.88,Synergy
1185,5-FU,DINACICLIB,A2780,5.16,No_Effect
1194,5-FU,MK-2206,A2780,5.09,No_Effect
1195,5-FU,MK-2206,A2780,12.13,Synergy
1196,5-FU,MK-2206,A2780,7.8,Synergy
1197,5-FU,MK-2206,A2780,7.62,Synergy
1198,5-FU,MK-4827,A2780,11.07,Synergy
1199,5-FU,MK-4827,A2780,5.57,No_Effect
1200,5-FU,MK-4827,A2780,7.83,Synergy
1201,5-FU,MK-4827,A2780,6.37,No_Effect
1205,5-FU,MK-8669,A2780,5.67,No_Effect
1206,5-FU,MK-8669,A2780,13.19,Synergy
1207,5-FU,MK-8669,A2780,5.41,No_Effect
1208,5-FU,MK-8669,A2780,7.19,No_Effect
1209,5-FU,MK-8776,A2780,7.72,Synergy
1210,5-FU,MK-8776,A2780,7.73,Synergy
1211,5-FU,MK-8776,A2780,9.04,Synergy
1212,5-FU,MK-8776,A2780,9.96,Synergy
1213,5-FU,PD325901,A2780,5.83,No_Effect
1214,5-FU,PD325901,A2780,8.02,Synergy
1215,5-FU,PD325901,A2780,9.93,Synergy
1216,5-FU,PD325901,A2780,9.92,Synergy
1219,5-FU,SUNITINIB,A2780,7.67,Synergy
1220,5-FU,SUNITINIB,A2780,14.64,Synergy
1221,5-FU,SUNITINIB,A2780,10.78,Synergy
1222,5-FU,SUNITINIB,A2780,9.68,Synergy
1223,5-FU,TEMOZOLOMIDE,A2780,8.03,Synergy
1224,5-FU,TEMOZOLOMIDE,A2780,7.48,No_Effect
1225,5-FU,TEMOZOLOMIDE,A2780,5.3,No_Effect
1226,5-FU,ZOLINZA,A2780,5.69,No_Effect
1227,5-FU,ZOLINZA,A2780,13.23,Synergy
1228,ABT-888,BEZ-235,A2780,13.38,Synergy
1229,ABT-888,BEZ-235,A2780,13.43,Synergy
1230,ABT-888,BEZ-235,A2780,21.21,Synergy
